"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,0.792101972641113,-0.903160932798863,0.242571648441907,-0.8557203130394,0.178988503447208,-0.0291948271848481,-3.93179741871519e-29,0,0,0,0,0,0,0,0,0,-1.84361239359953e-29,0,0,0,0,0,0,0,0,-3.73260726653668e-28,-4.11639786984428e-29,0,0,0,0,0,0.118897273487287,0,0,0,-4.91981333402625e-28,0,0,2.94827910497758e-28,0,0,0,0,0,1.42523680427259e-28,0,2.26575769816955e-28,0,2.66297126706025e-28,0,0,0,0,0,-3.87620765107279e-28,0,-3.90792709818125e-29,0,0,0,5.99467436323594e-28,0,-1.93985314995007e-29,0,0,0,1.95117845962318e-29,-9.80438327869093e-29,0,-6.49490318306895e-28,-9.68407023134729e-30,0,-1.03924602930023e-27,0,0,2.46992084489267e-29,-9.90059101114374e-28,0,0,0,-2.83768707000388e-28,0,0,0,0,9.66575763956602e-29,0,0,0,2.43334619068369e-29,0,0,-2.41353694497743e-28,-1.01488808871112e-27,0,0,-7.56775937405277e-29,0
"2",0,0.521880087303877,-0.892686806567234,0.0734370746254765,-0.780321213710859,0.0509064711414772,-0.406915115663153,0,0,0,0.259153249873988,0,0,0,0,0,0,0,0,0,-7.10330778030259e-30,0,0,1.06825174646811e-29,-2.88918273013682e-30,0,0,2.22000394101853e-30,0,0,0,0,0,0,0,0,0,0,0,1.72335667573259e-30,1.18380950998381e-29,0,0,0,0,0,0,1.13393558581392e-29,-7.34787076207835e-31,0,0,0,0,0,0,0,0,1.39891060280253e-30,0,0,0,0,0,0,0,0,-0.210994355131582,0,0,-2.9841373718692e-30,0,0,0,0,0,0,0,2.76677467645461e-30,0,0,0,0,0,-3.25455146094869e-30,0,-8.19353011401271e-30,0,0,0,0,0,-4.92344535136172e-30,0,0,0,0,0,0,0,0
"3",8.66517025383038e-29,0.403357398431621,-0.844804865617143,0.215299356906038,-0.440771675244028,0.0216671390923548,-0.140810133043593,7.21261307757486e-30,0,0,1.45595455627029e-28,0,0,-2.16887822056033e-28,0,0,0,0,0,0,-0.184467032387341,0,0,-2.19818425371504e-29,0,0,0,-2.34451877786632e-28,0,0,0,0,0,0.454899280947615,0,0,0,0,0,-1.12818816747072e-29,-5.20519768668007e-30,0,0,0,0,5.92446937247979e-28,2.34079245748602e-29,-0.0947766307615185,0,7.81009589490348e-28,1.6634457725419e-29,-4.7855856095274e-28,0,0,0,0,0,-4.02353774568692e-28,0,0,4.08315574147481e-29,-5.22404484151228e-28,0,0,0,7.32210187289448e-29,-0.130426825309255,0,0,0,0,0,0,0,0,0,0,0,0,-3.07143905433215e-28,0,0,0,0,0,3.8649756917555e-28,0,0,-4.92889533644818e-28,0,0,0,0,4.23326544443287e-29,0,0,-1.08738269433955e-28,2.8228637055689e-28,0,0
"4",0,0.276083340247982,-0.405471593604025,0.209018451334442,-0.345536703594542,8.84361875477018e-28,-0.00699481712973796,4.00628343361066e-27,0,0,0,1.86591784098714e-27,0,0,-1.3857787650839e-27,0,0,-1.25902815996345e-27,3.44824966120801e-27,0,0,0,0,8.37420776649394e-27,0,8.76209324290021e-27,0,0,0,0,0,0,0,0.115317833637511,6.02340726654776e-27,0,0,0,0,0,0,0,0,0,0,0,-1.91948753289602e-28,0,-1.24799522018909e-27,0,-4.03840895370923e-28,0,0,0,7.42669014508107e-29,0,0,0,0,0,1.83204105585349e-27,0,-1.54325447261704e-27,0,0,0,-0.0878809719642357,0,0,0,0,0,0,0,-1.31562669782961e-26,0,0,4.32070101384253e-27,0,0,0,0,0,0,0,0,0,0,7.24974568177775e-27,0,0,-4.180041323181e-29,0,0,0,0,0,0,0,0
"5",0,0.431806746916929,-0.92088922625837,0.425807030249615,-0.609238068710816,0.289617703112734,-0.134584445093655,4.0761610485409e-29,0,0,0,0,0,0,0,0,0,2.33012283821529e-29,0,0,1.88020262317922e-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0688704923067051,0,0,0,0,-1.49214272667786e-28,0,0,0,2.64412420597992e-28,0,0,0,4.32218151170667e-28,-0.014288157203144,0,0,0,0,3.93857139002988e-28,-2.31860816987232e-28,0,7.55507618662622e-29,3.64371555854834e-28,-4.48261342136732e-29,0,0,0,0,0,0,0,4.51904061627598e-28,0,0,4.77763669505792e-29,0,0,0,0,0,-2.35553721263069e-29,0,0,0,-3.58347298798789e-28,0,0,0,0,0,7.05354348932263e-28,0,0,0,-9.48767230109706e-29,0,0,0,0,0,0,0,0,0,0,0
"6",-0.100811049998646,0.405997606956706,-0.751067727841191,0,-0.203807130624989,0.16306419488759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25227545376422e-31,0,0,1.52718637412665e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.09451046782076e-30,-0.231587481364635,0,0,0,0,0,-4.40457118321894e-30,0,0,0,0,0,0,0,0,0,0,0,0,0.161202647176379,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185528591770719,0,0,0,0,3.70841869635259e-30,0,0,0,0,-0.0666672963793033,0,0,0,6.67301547444994e-31,0,0,0,0,0,0,0,0
"7",0,0.470974421962235,-0.681167009488675,0,-0.42745529976549,0.157217519531517,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.53735413196165e-30,0,0,0,0,2.67584405731434e-30,0,0,0,0,0,0,0,0,0,0,-0.229009282651719,0,0.0813512824902244,0,0,-5.47758321126524e-31,0,2.14599490690444e-30,0.183235834406101,-0.166484078407697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269299374843027,0,0,-1.01152796934025e-30,0,0,0,0,0,0,0.0820186071094976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75360377658603e-30,0,-0.0619462664025272,0,0,0,0,0,0,0,0,0
"8",-0.0400693852180352,0.81365801455014,-0.848969876819956,0,-0.571292191466803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150557471678925,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182005385250776,0,0,0,0,0,0,0,0,0,0,0.0961334127177208,0,0,0,0,0,0.0187883568329171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130898750657862,0,0,0,0,0,0,0,0,0,0,0,0.139829244682113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-0.252236978454139,0.892115605672361,-0.561166803311478,0,-0.203365209090031,0.513663089664036,-7.47171511777954e-29,2.57316953736238e-29,0,0,0,8.34267195467013e-30,0,0,8.41156583730086e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89982151800301e-31,0,0,-1.13914480412949e-29,0,0,0,0,0,-2.86942633300704e-29,0,0,0,0,-0.125741528939184,0,0,0,0,-2.86259045414292e-30,0,0,-0.0617750297851271,0.0181714473049294,0,0,0,0,0,0,4.88599617180304e-29,0,0,0,0,4.27808546801453e-29,0,0,5.51633584289122e-30,0,9.33852799346219e-30,0,0,0.0289655895298667,0,0,-4.78141040480548e-30,0,-1.12296817944162e-30,0,0,0,0,0,0,-7.45752718684374e-29,0,-7.81495621542053e-30,0,0,0,0,0,0,-4.39654812009994e-29,0,0,0,0,0
"10",-0.12379104660972,0.552507452833003,-0.305636328860046,0,-0.0576565313954439,0.058884435381429,0,0,0,0,0,0,0,0,0,0,0,-9.67324438360219e-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89280294734124e-30,0,0,0,0,8.25391961781123e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337265290869727,0,0,0,0,0,0,0,0,-1.06919962805231e-29,3.30980207208389e-29,0,0,0,-2.55082636884327e-30,0,-2.12310057587016e-29,9.25402447195477e-30,0,0,0,0,0,0,-7.55292246243801e-29,0,0,0,0,6.93627535295451e-30,0,0,0,0,0,0,0
