"","x"
"1",-0.298722745344013
"2",-1.10452936157643
"3",-0.197962066627487
"4",-0.138074468865389
"5",-0.679952159556567
"6",-0.551649191300104
"7",-0.388534774445608
"8",-1.05235318435352
"9",-0.89126737888044
"10",-0.128287429394276
"11",-0.237127926549909
"12",-0.187009372908788
"13",-0.647957492787626
"14",-0.065858906763562
"15",-0.124953891492719
"16",-0.609401460828918
"17",-0.220121750738472
"18",-0.913214666485411
"19",-0.566294616668606
"20",-0.94072269804867
"21",-0.430964725746246
"22",-0.294914646924808
"23",-0.476151685902885
"24",-0.68441126937746
"25",-0.183148007798663
"26",-0.60954300926679
"27",-0.375802687702496
"28",-0.582871149040342
"29",-1.01577716282111
"30",-0.234252434663011
"31",-0.536483088087242
"32",-0.495832816077153
"33",-0.603028852897221
"34",-0.883761257285222
"35",-0.793904545798099
"36",-0.858228732658146
"37",-0.0818630195034584
"38",-0.534743991346795
"39",-0.0795938850620521
"40",-0.818377502052677
"41",-0.465313305376944
"42",-0.0526424602332352
"43",-0.414840593887096
"44",-0.214600636061782
"45",-0.36819774372466
"46",-0.844942682989697
"47",-0.0773490179623563
"48",-0.523893876223036
"49",-0.47737904822557
"50",-0.789653920881146
"51",-0.820635218441807
"52",-0.684441628959428
"53",-0.861919506122224
"54",-0.195571777132901
"55",-0.538977055803795
"56",-0.188190090460245
"57",-0.349875582136772
"58",-0.278184988838797
"59",-0.663851364918908
"60",-0.2491197272808
"61",-0.198622827550227
"62",-0.36765801516732
"63",-0.137521881022872
"64",-0.164212585014565
"65",-0.705126805580143
"66",-0.219465551226773
"67",-0.364918707932291
"68",-0.368038231555716
"69",-0.348242521988692
"70",-0.0725286409756526
"71",-0.241832543595959
"72",-0.3654724677537
"73",-0.54698930520443
"74",-0.753754740533943
"75",-0.973449525281355
"76",-0.59906402729459
"77",-0.332932575784952
"78",-0.146495894736388
"79",-0.576170826827422
"80",-0.462225979521996
"81",-0.71930264026515
"82",-0.293594023026085
"83",-0.419100091516247
"84",-0.189043211266201
"85",-0.251372369316832
"86",-0.421886016739094
"87",-0.537266406019466
"88",-0.461332280895083
"89",-0.777825883081089
"90",-0.673068876352076
"91",-0.495383379685863
"92",-0.214261100515943
"93",-0.262898220927011
"94",-0.617997413263354
"95",-0.699267651859202
"96",-0.274411734676393
"97",-1.13826393974772
"98",-0.506920521541618
"99",-0.293665570678906
"100",-0.462716869150464
"101",-0.627192394954703
"102",-0.431913448982022
"103",-0.306056562488139
"104",-0.156785391534815
"105",-0.130717266412208
"106",-0.860404871104851
"107",-0.410773584277053
"108",-0.445364079815535
"109",-0.32194322012496
"110",-0.417304567595589
"111",-0.401396235505336
"112",-0.66129490413503
"113",-1.04817392254589
"114",-0.213589546620947
"115",-0.397050774264559
"116",-0.47255267279439
"117",-0.33857387179901
"118",-0.600720640568606
"119",-0.71373208672874
"120",-0.786733118269296
"121",-0.453732568516181
"122",-0.682732942724084
"123",-0.326743023855102
"124",-0.149661503964979
"125",-0.470851160114039
"126",-0.230787269967097
"127",-0.256109794900271
"128",-0.339873587533511
"129",-0.521552941509295
"130",-0.636696035520973
"131",-0.528307233891593
"132",-0.530098055393015
"133",-0.544273249859039
"134",-0.378697069789129
"135",-0.360596386247226
"136",-0.291125116459062
"137",-0.591189494474885
"138",-0.624648965367249
"139",-0.233245116304519
"140",-0.0847625667620496
"141",-0.542292791762873
"142",-0.149694818820771
"143",-0.367522378610984
"144",-0.21479236516794
"145",-0.597086692373583
"146",-0.180587155717937
"147",-0.628276500766727
"148",-0.285164624636232
"149",-1.16470956634347
"150",-0.682502998250993
"151",-0.245850568231605
"152",-0.207461016763386
"153",-0.847067472384171
"154",-0.396379521313455
"155",-0.175728723421838
"156",-0.45852714169395
"157",-0.428538277975207
"158",-0.243678348642692
"159",-0.481622344030166
"160",-0.620838146755249
"161",-0.544747346416714
"162",-0.674532666925229
"163",-0.345136263155089
"164",-0.123103022957437
"165",-0.288684163044626
"166",-0.440246473871006
"167",-0.424988854114306
"168",-0.369053870714542
"169",-0.521099208713339
"170",-0.103431534355402
"171",-0.304729146559547
"172",-0.797384221795607
"173",-0.45077732750563
"174",-0.230234175753562
"175",-0.138308319357657
"176",-0.280050100992586
"177",-0.156145689261968
"178",-0.491192316880968
"179",-0.151997851360753
"180",-1.24599762539252
"181",-0.577194835198137
"182",-0.0412715033659672
"183",-0.678319591793623
"184",-0.618729198636073
"185",-0.300476477135369
"186",-0.224405574703492
"187",-0.328101063448903
"188",-0.198736327194353
"189",-0.383662398115405
"190",-0.267229168141802
"191",-0.105803378689322
"192",-0.167931618621956
"193",-0.700773599694308
"194",-0.362538502545137
"195",-0.54214640011611
"196",-0.251441968834577
"197",-0.0938709677372873
"198",-1.21642250068441
"199",-0.630913594848706
"200",-0.542195020231452
"201",-0.322182961130354
"202",-0.674720014957742
"203",-0.458846823912771
"204",-0.317272368333413
"205",-0.403565586994734
"206",-0.35129672786542
"207",-0.136425901398423
"208",-0.167203796686834
"209",-0.103563158603117
"210",-0.554536644131605
"211",-0.292827127292714
"212",-0.217871650999791
"213",-0.408685361862358
"214",-0.193536856916562
"215",-0.391235152870851
"216",-0.65369959468041
"217",-0.379515899485334
"218",-0.302261061973093
"219",-0.483995608790017
"220",-0.492189891050789
"221",-0.37403419156349
"222",-0.600687884647616
"223",-0.78369577863173
"224",-0.575969389912529
"225",-0.150196909036741
"226",-0.637953104268142
"227",-0.527091575129542
"228",-0.400236783039238
"229",-0.489270436233708
"230",-0.450356345695749
"231",-0.748078831379845
"232",-0.461324175223145
"233",-0.455958427514199
"234",-0.190251271128532
"235",-0.678317520769895
"236",-0.415664444618285
"237",-0.18165954111702
"238",-0.555654408713159
"239",-0.115503210560976
"240",-0.34486698046058
"241",-0.122861282195093
"242",-0.371957031520633
"243",-0.188432391858743
"244",-0.693385847839387
"245",-0.0917832743741972
"246",-0.306310344401292
"247",-0.514662496692464
"248",-0.250215689874207
"249",-0.317350225517407
"250",-0.484289639705392
"251",-0.370440648871928
"252",-0.0367691314455779
"253",-0.0624078242215227
"254",-0.517350417387126
"255",-0.800960861843263
"256",-0.15905747627899
"257",-0.742789962397072
"258",-0.242431908176545
"259",-0.465033467475891
"260",-1.20492387218495
"261",-0.0368803249198668
"262",-0.0311483542012365
"263",-0.614279292690263
"264",-0.259900684101923
"265",-0.386366173004007
"266",-0.213643629370638
"267",-0.29153937595432
"268",-0.250590938088952
"269",-0.378999136068352
"270",-1.01882835976308
"271",-0.547698317104779
"272",-0.327116067380773
"273",-0.131285711205004
"274",-0.57432827337415
"275",-0.0122254314318503
"276",-0.743371821269952
"277",-0.24713518295235
"278",-0.26512640406446
"279",-0.791846047818243
"280",-0.088113728852164
"281",-0.115408480826429
"282",-0.513177042437461
"283",-0.253415107781083
"284",-0.61593889731699
"285",-0.430519616008635
"286",-0.831837553445299
"287",-0.495974350942537
"288",-0.338767651896117
"289",-0.464934436200532
"290",-0.186053648479681
"291",-0.255366581094652
"292",-0.707662786283983
"293",-0.0834390443785611
"294",-1.10671520663489
"295",-0.344539209991301
"296",-0.781840664317526
"297",-0.268358481467215
"298",-0.441023325868537
"299",-1.17577505142986
"300",-0.276229083541367
"301",-0.482178454569561
"302",-0.490318850102745
"303",-0.429415616432789
"304",-0.738946246190362
"305",-0.365586609807047
"306",-1.09952185151949
"307",-0.67271480063532
"308",-0.899413763122677
"309",-0.648354821674124
"310",-0.45681538420296
"311",-0.48809068181413
"312",-0.192364759078156
"313",-0.441331947908881
"314",-0.656307889964261
"315",-0.435759861457331
"316",-0.224480826359689
"317",-0.451569513845432
"318",-0.321776330673248
"319",-0.479827592942293
"320",-0.327558835445062
"321",-0.446649973250385
"322",-0.403269264575143
"323",-0.235275705010816
"324",-0.223396261401838
"325",-0.366031382836429
"326",-0.0472232417545628
"327",-0.777186004209774
"328",-0.424684447464592
"329",-0.175005213665177
"330",-0.196608553921107
"331",-0.219358554264053
"332",-0.199569102832727
"333",-0.313323425280131
"334",-0.652028417620321
"335",-0.721420044186447
"336",-0.360076159502203
"337",-0.731740762049521
"338",-0.887744417988516
"339",-0.0732427870894236
"340",-0.174698869479546
"341",-0.291392007193983
"342",-0.297192902775347
"343",-0.519957434029053
"344",-0.632122128332998
"345",-0.317211159280688
"346",-0.528100427362989
"347",-0.137750760742978
"348",-0.294851804199777
"349",-0.664799498985788
"350",-0.236293090362049
"351",-0.408894872606621
"352",-0.21395947752006
"353",-0.728257282712218
"354",-0.244104652562901
"355",-0.141374148156044
"356",-0.225452091746201
"357",-0.466717743467695
"358",-0.115702951419487
"359",-0.125333228554066
"360",-0.228837742619251
"361",-0.39574107006446
"362",-0.727895923722755
"363",-0.538335165060377
"364",-0.585989770024846
"365",-0.716008067882121
"366",-0.322236820068517
"367",-0.309513811669743
"368",-0.21011019754851
"369",-0.285186700305651
"370",-0.547086430049573
"371",-0.324716897315369
"372",-0.90718725315331
"373",-0.390178471847716
"374",-0.355939010402326
"375",-0.319978821148029
"376",-0.232658023647302
"377",-0.437140774280518
"378",-0.273068004913316
"379",-0.733480978264251
"380",-0.51182965546174
"381",-0.276319080628631
"382",-0.262948088509513
"383",-0.440106055671328
"384",-0.0753788637657741
"385",-0.61592671185987
"386",-0.113856978452536
"387",-0.5560744865828
"388",-0.400258468320521
"389",-0.764430795737532
"390",-0.203299757613661
"391",-0.605537973329506
"392",-0.484121964236285
"393",-0.429891408776891
"394",-0.25382744235233
"395",-0.620779497070061
"396",-0.43679353611825
"397",-0.509457640643544
"398",-0.228332279398159
"399",-0.534657156676558
"400",-0.377632131941472
"401",-0.270117131115767
"402",-0.197346310584061
"403",-0.194802930309938
"404",-0.64725186694806
"405",-0.162823584878901
"406",-0.686472997577267
"407",-0.346578656349139
"408",-0.119932585046876
"409",-0.212579638396394
"410",-0.456782678401966
"411",-0.848110155107998
"412",-0.467957607613207
"413",-0.208076655928741
"414",-0.552358416058373
"415",-0.413947860616583
"416",-0.731817570995884
"417",-0.0800805908300848
"418",-0.414501111022104
"419",-0.522121281852129
"420",-0.390750342169068
