"","x"
"1",-0.333682470870918
"2",-0.449385878714965
"3",-0.034559383501989
"4",-0.271792003975668
"5",-0.00850169286981911
"6",-0.0160417576652306
"7",-0.0139302588467186
"8",-0.580114092153363
"9",-0.544110768733408
"10",-0.439090272425777
"11",-0.0659809344130641
"12",-0.431993102255801
"13",-0.392651869701427
"14",-0.0318640033979094
"15",-0.00562044505122977
"16",-0.149908913036823
"17",-0.0247079387108914
"18",-0.0769383107983973
"19",-0.0278320205305456
"20",-0.305756297695668
"21",-0.00549256612887015
"22",-0.024526891081317
"23",-0.0548338714876224
"24",-0.0127019051588527
"25",-0.00749465212642267
"26",-0.0120228446383537
"27",-0.0332787060865337
"28",-0.0114464650026445
"29",-0.242945072409873
"30",-0.0154221342010516
"31",-0.0568564022070562
"32",-0.00199071092598444
"33",-0.0416630576943313
"34",-0.207682409778471
"35",-0.0769878972169093
"36",-0.0100151598514263
"37",-0.00406278285746037
"38",-0.000272812706367244
"39",-0.00233750172413513
"40",-0.00166524846865749
"41",-0.011353698532073
"42",-0.00610283636670803
"43",-0.0165441331797167
"44",-0.0273449849088297
"45",-0.00265837948475467
"46",-0.000684163043210531
"47",-1.26942343438153e-05
"48",-0.301057450169245
"49",-6.00978122919694e-05
"50",-0.142453335538796
"51",-0.0501133119169939
"52",-0.0488814128962129
"53",-0.232470308534443
"54",-0.00837270809117929
"55",-0.0823233941740986
"56",-0.515815854655586
"57",-0.0408841886405447
"58",-0.00142951394522767
"59",-0.0271929630494201
"60",-0.0185782897632216
"61",-1.36960821322375
"62",-0.282159701813198
"63",-1.42969875537173
"64",-0.0232986992617207
"65",-0.0251610031408087
"66",-0.572280299757937
"67",-0.288764042328883
"68",-0.232268018451705
"69",-0.138876442449618
"70",-0.687117429784027
"71",-0.492625333312695
"72",-0.152555712367918
"73",-0.831120109772531
"74",-0.219724515854046
"75",-0.464493222102593
"76",-0.0253624974418523
"77",-0.187808186658667
"78",-0.709266352054503
"79",-0.43382300895025
"80",-0.296565583461251
"81",-0.257588827855216
"82",-0.214418310256685
"83",-0.325949599707302
"84",-0.0922528036232759
"85",-5.65185056216853
"86",-0.336588678829476
"87",-0.0332231293572715
"88",-0.0282218787439098
"89",-1.00393781688243e-05
"90",-0.000882120475922743
"91",-0.05328385151108
"92",-3.62795762415944e-05
"93",-0.0789837261899909
"94",-0.17791103054842
"95",-0.609604622404675
"96",-0.00563405266179512
"97",-0.111644318803489
"98",-0.0697058767472054
"99",-0.650916235698539
"100",-0.968547284230654
"101",-1.73311823516908
"102",-0.288006740677883
"103",-0.637951218985402
"104",-2.92543412582442
"105",-0.206041887681947
"106",-0.109023472632846
"107",-0.00820222332006554
"108",-0.00744775399274723
"109",-0.102793838254114
"110",-0.0798433549078874
"111",-0.714398004719249
"112",-0.275195551848902
"113",-3.09023186715481
"114",-0.00940060156743802
"115",-0.458144082183879
"116",-0.500444048908335
"117",-0.00305086976104937
"118",-0.198542895854928
"119",-1.71036888609085
"120",-0.406925690365418
"121",-0.446305885718623
"122",-0.471161096593699
"123",-0.355461440894222
"124",-0.478366801038149
"125",-0.595021990438742
"126",-0.842120015854185
"127",-0.881099504101034
"128",-0.25641381995281
"129",-0.811058183300934
"130",-0.436327074363692
"131",-1.32102050565495
"132",-1.40578564569609
"133",-0.772025557671545
"134",-0.886407348872717
"135",-0.240700809844075
"136",-0.621463511297692
"137",-0.669006581521302
"138",-0.562544721488905
"139",-0.967180987258989
"140",-0.547645930629237
"141",-0.792189381668484
"142",-0.278771303074852
"143",-0.817214345555835
"144",-0.783552994200356
"145",-0.963734451192135
"146",-0.67167159859517
"147",-0.451975569721244
"148",-1.23805789435808
"149",-0.0354458842077826
"150",-0.610118800618419
"151",-0.0961831851072545
"152",-0.390942776841676
"153",-0.578357418415702
"154",-0.141793642502012
"155",-0.328733202436743
"156",-0.494747709625853
"157",-5.13249314659211
"158",-0.56205574522462
"159",-0.0105053612170869
"160",-1.02427716581689
"161",-0.597428085581226
"162",-0.565555125869067
"163",-0.68372896731774
"164",-0.0335566680964114
"165",-0.0138256358636688
"166",-0.686506462262317
"167",-2.67792170431322
"168",-0.30737375837507
"169",-0.693147180559945
"170",-0.693147180559945
