"","x"
"1",-0.535773810344741
"2",-0.637429775166747
"3",-0.113129137681648
"4",-0.4470754773037
"5",-0.0601469945154423
"6",-0.143025874251656
"7",-0.123417841280146
"8",-0.392094741338541
"9",-0.945256139308778
"10",-0.530835886770725
"11",-0.338902597433623
"12",-0.364528115345403
"13",-0.639322620531191
"14",-0.377866751960785
"15",-0.349038571516192
"16",-0.598130726412422
"17",-0.157202909111415
"18",-0.506847023733089
"19",-0.294272907546105
"20",-0.787272073184883
"21",-0.1309432097585
"22",-0.138010892099538
"23",-0.463627243638868
"24",-0.275537938093376
"25",-0.406522648910665
"26",-0.373810580030134
"27",-0.35960539240554
"28",-0.241822013845703
"29",-0.441302023221479
"30",-0.409922304659986
"31",-0.544510687267985
"32",-0.266554329335569
"33",-0.368330019142033
"34",-0.815062785603529
"35",-0.662837720051215
"36",-0.12142449161249
"37",-0.281159703479114
"38",-0.312486196009518
"39",-0.359406363105862
"40",-0.363438613265359
"41",-0.476993865552157
"42",-0.337161309118912
"43",-0.379457916012028
"44",-0.683776017528018
"45",-0.35021869204051
"46",-0.438081916893538
"47",-0.186286118518344
"48",-0.493211197200243
"49",-0.00968190658446448
"50",-0.443171975513374
"51",-0.0880869886419086
"52",-0.269420599773566
"53",-0.704086778103791
"54",-0.132554064070283
"55",-0.228276133579682
"56",-0.692609858327131
"57",-0.12523763501215
"58",-0.0300808561698657
"59",-0.223813934915138
"60",-0.114074126474585
"61",-0.774261717241714
"62",-0.569374886584832
"63",-1.26147212209324
"64",-0.246799625475664
"65",-0.209883416930156
"66",-0.51277217839679
"67",-0.393413006129351
"68",-0.326164176147769
"69",-0.510439914207667
"70",-1.00457489471793
"71",-0.392166301946631
"72",-0.27003730541055
"73",-0.758190402280136
"74",-0.305749946707166
"75",-0.523433299302062
"76",-0.0608323298169489
"77",-0.296264843934376
"78",-0.701351867441143
"79",-0.431963270911087
"80",-0.404985013870965
"81",-0.285473077675204
"82",-0.321097721332816
"83",-0.423086780167551
"84",-0.163024781503907
"85",-1.57785769912124
"86",-0.475994385549498
"87",-0.87400705607114
"88",-0.429012541807916
"89",-0.0797401696312637
"90",-0.146342336523858
"91",-0.326552746015563
"92",-0.0652469658655048
"93",-0.785574332081312
"94",-0.812008051806198
"95",-0.419021803513729
"96",-0.667036240288914
"97",-0.96257035240907
"98",-0.0601395311676674
"99",-0.593937456995173
"100",-0.632793205007891
"101",-1.1911244199305
"102",-0.329731843581001
"103",-0.50366183493192
"104",-0.950701831199269
"105",-0.32709927538594
"106",-0.441394326663432
"107",-0.211730337946013
"108",-0.106776925144477
"109",-0.538495650900991
"110",-0.538652198189182
