"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,1.02226505375388,-1.29830567521438,0.344521722791524,-1.06821358659484,0.348848599276773,-0.129852293392655,-6.35662816181165e-30,0,0,-9.93723949685401e-29,0,-9.3576858466179e-29,2.94899768770312e-28,0,0,0,0,0,0,0,0,0,0,2.29483631862263e-28,0,0,0,0,0,-0.0818834427009955,0,0,0.173256583902193,4.21255747765683e-29,0,0,0,0,0,0,0,0,8.92689947251327e-29,0,0,0,0,0,0,0,-1.13733352816212e-28,-9.84547729221155e-30,0,0,0,0,-1.06455430987375e-28,0,0,0,7.31407062402583e-30,0,0.061555279883021,0,-2.64627445728432e-30,0,-0.0170727747107739,0,2.00683470235705e-28,0,0,0,2.9514625705011e-29,0,0,0,-0.00703053902691778,-5.85392506591596e-30,0,0,0,0,0,0,0,0,7.39146172437402e-29,0,0,0,0.0745050983149286,0,0,0,-1.51130074079808e-28,0,0,0,0
"2",0,0.452641961836715,-0.950867533929142,-7.11922379313236e-30,-0.597490503677777,-3.36474255591687e-29,-0.264381435054822,0,0,0,0.19199328634719,0,0,0,0,0,0,0,0,0,-0.0232525510930995,0,0,-1.37346653117329e-29,8.37862991739678e-29,0,0,-1.97950351407486e-29,0,0,0,0,0,0,1.34097821434653e-29,0,0,0,0,0,0,-6.02597737136978e-30,0,0,0,6.05743779249671e-29,0.50520703900136,-5.44289081190681e-30,0,0,-5.71864853149996e-30,0,0,0,0,0,0,-0.0269164382536624,0,0,0,0,0,0.0128304853622797,0,0,-0.0538790873725484,0,0,0,0,0,0,-2.5631571395857e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0894375717447e-29,0,0,2.92503639731966e-29,0,-1.76548456203145e-29,1.80039222650494e-29,2.14888066618046e-29,0
"3",0,0.35234039793099,-0.812354354001911,0.213457794458093,-0.377223988688922,0,-0.10474479042808,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197526018597045,0,0,0,0,0,0,-3.14581000574468e-28,0,0,0,0,0,0.455297886127577,0,0,0,0,0,-6.4395132171232e-28,0,0,0,0,0,0,9.29507404936268e-28,-0.0843961032515074,0,0,-2.16913328739464e-27,0,0,0,9.64620717305926e-28,0,0,0,0,0,0,0,0,0,0,0,-0.105817474134532,0,0,-3.74270965973635e-28,0,0,0,-1.81793841592701e-27,0,0,0,0,-7.53749863435855e-29,4.21475764893408e-27,0,0,0,0,0,0,0,4.24127727541273e-28,0,0,0,0,0,0,0,0,-6.41276973584861e-29,0,0,0
"4",-0.0199403684220051,0.458747583653125,-0.727558909870098,0.262091256275807,-0.465900999049881,0.115772808527922,-0.121060532517627,0,0,0,0,1.87149249949628e-28,0,0,0,0,0,-2.01867840093766e-28,0,0,0,0.0489310944206414,0,0,0,0,0,0,0,0,0,0,0,0.0788445094468794,0,0,0,0,0,0,0,0,0,0,0,0,0.310460435888143,-7.56673616316358e-29,-7.6847806939386e-29,0,-1.7517150257996e-27,0,0,0,0,0,-3.03340931631322e-29,3.14299499972075e-28,0,0,-3.44475841240734e-29,2.09723130492547e-28,0,-1.99213124243235e-28,0,0,-0.17320048998916,0,0,-1.4950013860385e-28,0,0,0,0,-8.18371938669861e-29,0,0,0,-1.67924775064936e-29,0,0,0,-7.12372839543808e-28,8.59041336947219e-28,0,0,0,0,1.11364526772149e-28,0,0,0,0,0,0,0,1.08385082323645e-27,-5.79732927439517e-29,0,0
"5",0,0.335210641672851,-0.909545550152671,0.392316974690424,-0.459288085489666,0.233298356233513,-1.16678383516733e-29,0,0,0,0,0,0,3.44677260593214e-29,0,0,0,0,0,0,-5.82058653204158e-29,0,1.47103391676677e-28,-4.66290190606861e-30,0,0,0,0,0,0,0,0,0,8.49884404938816e-29,-1.40937869853828e-29,0,0,0,0,0,-1.57626385210508e-28,-5.53595198657133e-30,-7.767114855066e-29,0,0,0,0.474985296403218,3.20369754541767e-30,0,0,0,2.7637317193066e-28,0,0,1.09382898048532e-28,0,-2.46467048750071e-29,-0.0165375242768785,0,0,-1.49797621638914e-28,-1.87618134310016e-28,0,0,0,2.4329191511474e-28,0,-1.33197759044888e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03632911240555e-30,0,0,0,0,-1.05462467261334e-29
"6",0,0.310167690829791,-0.668407824543111,6.85967016025139e-31,-0.112119112230209,0.116892881624713,1.51872704040207e-29,0,0,0,0,-0.0107712192145221,0,0,0,0,0,3.18759557044632e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203133319920009,0,0,0,0,0,0,0,7.13000638786002e-30,0,3.43478616795367e-30,0,0,0,0,0,0,0,0,0.156548394374504,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158938578708445,0,-3.80583882850443e-29,0,0,0,0,0,0,0,-0.0701722732023529,0,0,2.98429468653329e-30,-0.15798082144033,0,0,0,0,0,0,0,0
"7",-0.0766796159428137,0.546363058861124,-0.743379274485639,0,-0.390792389045719,0.150716600908919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38124214447877e-30,0,0,0,0,0,0,5.00340742077044e-30,5.30263441451995e-30,-0.30594721568177,0,0.112371800338785,0,0,0,0,0,0,-0.226439082277467,0,0,0,0,0,0,0,-3.68394307205071e-30,0,0,0,0,0,0,0,0,0,0,0.237292823219353,0,0,0,0,0,0,2.30186825646394e-30,0,0,0.102303925431442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173887054532525,0,5.32750366951363e-30,0,0,0,0,1.68109478299927e-30,0,0
"8",-0.0743627457030255,0.776086885375668,-0.804466960316649,-5.21820784984396e-28,-0.509372490973509,0,0,0,0,0,0,2.13847492896687e-28,0,0,0,0,0,0,6.16327352938365e-28,0,0,0,0,0,0,0,5.71108026273172e-29,0,0,0,0,0,-1.06496575643902e-27,0,0,1.09750090267775e-28,4.0283878814993e-27,0,0,0,0,0,0,5.62404631920473e-28,0,0,-1.31898361290811e-27,0,0,0.0130316336012525,3.40817667221324e-27,0,-1.11435152848202e-27,0,-1.31127860422794e-27,-4.81185328173121e-28,4.89676647883878e-28,0,0,0,0,0,0,5.78503910363178e-28,-1.23087767732667e-29,0,0,0,0,0,0,0,0,0.0024990039257407,0,0,0,-1.64294031714842e-28,0,0,0,0,0,0,0,0.242478734394529,2.30748593709134e-27,0,0,0,-1.22130793679393e-27,0,2.15651864178832e-27,0,0,1.88538495300424e-27,0,-3.65390093184017e-29,0,0
"9",0,0.674630033598111,-0.321282688963898,1.52876068682487e-29,-0.0754572080054414,0.449945578128765,0,3.53685850200125e-30,0,0,0,0,0,0,-1.70100553598751e-29,0,0,0,0,2.46147547791494e-29,0,0,0,0,0,0,9.2638861739534e-30,0,0,0,1.07796073396066e-29,0,0,0,0,-3.53909331030872e-30,0,0,0,0,0,0,0,-4.77212022332103e-30,-0.102537391362818,0,-5.77839894370132e-30,0,0,0,0,0,2.15561731455988e-29,0.0126426757487376,0,0,0,-1.38591584351095e-30,-7.08313779151356e-30,0,-1.39599890622944e-30,-4.37629368539653e-30,0,0,0,-0.087532922668302,0,0,0,4.86749082410527e-30,0,0,0,0,0,3.26100853464387e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383200604217124,-3.73957974699601e-29,0,0,1.0655446268736e-29,0,0,0,0
"10",-0.400071858082001,0.790390940035477,-0.553805844491537,1.00128656694542e-29,-0.199993387721525,0.163516882140904,0,0,0,1.05994859779737e-28,0,0,0,0,0,0,3.27649420250417e-28,0,0,0,0,0,0,0,0,0,0,0,1.2408361308253e-28,0,2.46654239194574e-28,0,0,0,0,0,0,1.41999823078376e-28,0,0,0,0,0,0,-0.0692923069082634,7.81730086926924e-29,0,0,0,0.271267569352776,0,0,0,7.75341095476214e-29,-3.94172169631091e-28,0,0,0,-7.57406799346317e-29,0,0,6.90602501798234e-30,0,0.414356186578404,0,-7.25808719262214e-29,-6.29647640802287e-28,0,0,0,0,0,0,0.0499243834643056,0,0,9.66082722178284e-30,-6.27895721561419e-29,-5.81041739317317e-29,0,0,0,0,0,-2.47252613682556e-28,-1.78203062900551e-28,4.92283432525184e-30,6.50989983667276e-28,-2.24941937294586e-28,0,0,-0.038526922833906,2.72056133288104e-28,-7.13101343340634e-28,0,1.42117398282639e-28,0,0,0,0
