"","x"
"1",-0.298527613985199
"2",-0.928088545456918
"3",-0.253492979567523
"4",-0.186681695406777
"5",-0.866587953626489
"6",-0.61049000540224
"7",-0.348459274793307
"8",-1.05482845786677
"9",-0.867349379988276
"10",-0.16984064894172
"11",-0.269645350342138
"12",-0.232587954419073
"13",-0.729184812039429
"14",-0.0987939514463945
"15",-0.129231128866455
"16",-0.629441106491114
"17",-0.263132490190689
"18",-0.789100205538538
"19",-0.640061999295236
"20",-0.957880923347263
"21",-0.472183168246097
"22",-0.350589747294114
"23",-0.458870152627676
"24",-0.641458648134831
"25",-0.286303506023957
"26",-0.611404975602254
"27",-0.338960542805162
"28",-0.557974874854301
"29",-1.05277749804252
"30",-0.242880596101724
"31",-0.551679249353362
"32",-0.515520374704896
"33",-0.526705728716408
"34",-0.820135679601404
"35",-0.798071572537408
"36",-0.813567084348993
"37",-0.0893089975263317
"38",-0.490837009983682
"39",-0.122865739684023
"40",-0.779493132028332
"41",-0.449239238047628
"42",-0.0588340570874566
"43",-0.431200424526638
"44",-0.233036117729956
"45",-0.365213371862673
"46",-0.858441201088234
"47",-0.0916201505947034
"48",-0.566940484926232
"49",-0.460925380742371
"50",-0.771049819745655
"51",-0.692727202410907
"52",-0.659858366311442
"53",-0.812000329834203
"54",-0.208365174225424
"55",-0.529925494926997
"56",-0.186038395313147
"57",-0.355547160224706
"58",-0.262309082341716
"59",-0.764067345963953
"60",-0.259891436717399
"61",-0.184009851309064
"62",-0.418725367941853
"63",-0.146999226845257
"64",-0.171828785160191
"65",-0.652087340608408
"66",-0.221896092513517
"67",-0.370659132920531
"68",-0.311166868237793
"69",-0.347951134042298
"70",-0.0863507530085863
"71",-0.222148814016978
"72",-0.3654230125538
"73",-0.532005803441235
"74",-0.840291512243769
"75",-0.970328214914683
"76",-0.63696192987257
"77",-0.307760233360347
"78",-0.162239077789563
"79",-0.604051662063127
"80",-0.4585923944886
"81",-0.723471228779766
"82",-0.26476265545534
"83",-0.377775409414452
"84",-0.193936357196121
"85",-0.209290024175764
"86",-0.431879110906093
"87",-0.561986800901639
"88",-0.436270536235175
"89",-0.848166019145476
"90",-0.623361940331136
"91",-0.487818324474286
"92",-0.191753044090377
"93",-0.26155748612029
"94",-0.590391484730287
"95",-0.68742600074522
"96",-0.268640789792675
"97",-1.0463245773105
"98",-0.553001100511793
"99",-0.335121599581751
"100",-0.469608410008433
"101",-0.605950628265513
"102",-0.481266499522947
"103",-0.278938845457837
