"","x"
"1",-0.10160474737197
"2",-0.561835048181725
"3",-0.0977261798668691
"4",-0.0131906027481189
"5",-0.203361561413239
"6",-0.146151799537514
"7",-0.138686151716676
"8",-0.814381882629359
"9",-0.681773575733684
"10",-0.0118225195083932
"11",-0.0161417712967101
"12",-0.00500185758515128
"13",-0.666670115300186
"14",-0.0107332661764745
"15",-0.00678874709654817
"16",-0.17097180570052
"17",-0.0121102294486236
"18",-0.448001185548783
"19",-0.518739650615077
"20",-0.124332180664275
"21",-0.0156732617756672
"22",-0.058429924652254
"23",-0.500353157214961
"24",-0.358501973134391
"25",-0.0388988227435696
"26",-0.527866021611342
"27",-0.0437642920148878
"28",-0.40783179051132
"29",-0.855273585054852
"30",-0.0116383298051986
"31",-0.0271915731775241
"32",-0.16015845395379
"33",-0.211457315911701
"34",-0.343256966794352
"35",-0.199165852568657
"36",-1.1666388147438
"37",-0.0071602867389755
"38",-0.261228543192471
"39",-0.00075278834851958
"40",-0.367473218480709
"41",-0.00310018058077105
"42",-2.3823423850993e-08
"43",-0.0197854781730762
"44",-0.000333558712837303
"45",-2.39942886780779
"46",-0.0119926160405525
"47",-0.000139891068498778
"48",-0.0786975819386958
"49",-0.000474830742902182
"50",-1.34015353927771
"51",-0.0180700722465851
"52",-0.228898308884369
"53",-1.13178360158159
"54",-0.0014766814686726
"55",-0.123826852504771
"56",-0.000308111768378913
"57",-0.888659090253896
"58",-0.0785624595114511
"59",-0.400657208327571
"60",-0.0289847887958399
"61",-0.00624577655653125
"62",-0.0106596729615276
"63",-0.00029575014575597
"64",-0.000543743708966236
"65",-0.0291583045892939
"66",-0.0214229727245083
"67",-0.00206119947352171
"68",-0.397113280297773
"69",-0.686104976706838
"70",-3.71761342161603e-06
"71",-0.0042249098310391
"72",-0.0755269146730841
"73",-0.0759704580830896
"74",-0.230099597421002
"75",-1.93504846655886
"76",-0.000366003253273038
"77",-0.00496434762312434
"78",-0.000465438107264891
"79",-0.00693002251408148
"80",-0.187205032087985
"81",-0.000704343718531485
"82",-0.084635827593664
"83",-0.000276192345620885
"84",-0.0118257522768898
"85",-2.49596835206399e-08
"86",-0.0547694156722996
"87",-0.130818427308242
"88",-0.000673900145759756
"89",-0.0910805587884639
"90",-0.00788326303552452
"91",-0.290759281368999
"92",-9.60428327921489e-06
"93",-9.82485318666524e-06
"94",-0.000203253128087775
"95",-0.0120406204640256
"96",-2.40171372420632e-06
"97",-1.02652515364733
"98",-0.115154024938895
"99",-0.0433462735023761
"100",-0.766444411980761
"101",-0.990648667465016
"102",-0.0332489314377938
"103",-2.59227679804476e-05
"104",-4.391417318422e-06
"105",-2.6625466978315e-05
"106",-0.1045016039961
"107",-0.0124034467018854
"108",-0.0450199491806912
"109",-1.12902973079231e-06
"110",-0.0185113718713955
"111",-0.212678861162944
"112",-0.000389529634178799
"113",-1.24208665128907
"114",-0.00041375290127154
"115",-0.000154449542217448
"116",-0.0133227446850106
"117",-0.14028708369657
"118",-0.0191668987287216
"119",-1.79288389748931
"120",-2.3386832583083
"121",-0.0498695512533393
"122",-0.251030871336358
"123",-0.00230135459098515
"124",-0.000120715725046055
"125",-0.151141142861653
"126",-0.00317483155654829
"127",-0.00722003614743349
"128",-0.0870818506769261
"129",-0.0668930166638777
"130",-0.413943999585348
"131",-0.0191154931595508
"132",-0.181994504236453
"133",-0.479044875336956
"134",-0.020018338891495
"135",-0.000812939503081704
"136",-0.00584616726724053
"137",-0.16094424933386
"138",-0.810819026829347
"139",-0.0362526426461473
"140",-8.28019237923802e-07
"141",-0.123156972800487
"142",-0.000273548395360964
"143",-0.0804750059050139
"144",-0.000498341078456493
"145",-0.0378747615549695
"146",-0.0035502813748261
"147",-0.170935531386149
"148",-0.452428131811295
"149",-0.464909468681052
"150",-0.0365252551049489
"151",-0.0014823151826
"152",-0.000181691787997429
"153",-0.723449505928374
"154",-0.0147409220625148
"155",-0.00177898276932687
"156",-0.0161914069202402
"157",-0.0192334997455291
"158",-0.00208772359298544
"159",-0.182683084045371
"160",-0.750985570365643
"161",-0.470768510369754
"162",-0.460694094579449
"163",-0.119492962596467
"164",-0.0122421375988097
"165",-0.0632679316726028
"166",-0.219598705392973
"167",-0.137980383144056
"168",-0.398580211436537
"169",-0.689891105727839
"170",-0.00397874192048653
"171",-0.169583083354731
"172",-0.908298316337374
"173",-0.0851669863748303
"174",-0.00904235696317689
"175",-0.00313871882189042
"176",-0.00412382550139389
"177",-0.0124877431208822
"178",-0.124498223323015
"179",-0.0235561659199692
"180",-1.13329406328837
"181",-1.36441928803968
"182",-6.19394772438693e-05
"183",-0.140759595765609
"184",-0.076936854013833
"185",-0.0225481628676778
"186",-0.0013670090877735
"187",-0.0246128969561075
"188",-0.00473717926292659
"189",-0.100258405103471
"190",-0.0114617988233757
"191",-0.000675607218609524
"192",-0.000496152002623032
"193",-0.16879312708964
"194",-0.125406168817395
"195",-0.392065347052044
"196",-0.00988168499898415
"197",-0.021530729272924
"198",-1.64863872197818
"199",-0.748629251940573
"200",-0.100561455407107
"201",-0.0326698357046076
"202",-0.390977496471695
"203",-0.0393114035518394
"204",-0.00550835762391289
"205",-0.0819520874388533
"206",-0.00460917106851596
"207",-0.000381738789425953
"208",-0.00065511126052422
"209",-0.000707821141317307
"210",-0.00545402813434212
"211",-0.0720327787405901
"212",-0.0183682593329163
"213",-0.0118894166677864
"214",-0.00262346072819344
"215",-0.135642009479082
"216",-0.0962506942610536
"217",-0.0350651172013387
"218",-0.000464464721951695
"219",-0.181556154963691
"220",-0.0751079341303245
"221",-0.106149902064792
"222",-0.0143425804834334
"223",-0.774914993408398
"224",-0.115448620162708
"225",-0.00470005633480757
"226",-0.101684163084961
"227",-0.333536260545919
"228",-0.0130327559164373
"229",-0.125895522030144
"230",-0.0766548566810464
"231",-1.44386268078073
"232",-0.0586043302694839
"233",-0.0351693540031736
"234",-0.0145884300241616
"235",-0.320708546317079
"236",-0.313130901109172
"237",-0.00135076854227221
"238",-0.214173397287505
"239",-0.000455948019108638
"240",-0.0378979974886192
"241",-4.35642951996498e-05
"242",-0.00471417471586329
"243",-0.0128252139983534
"244",-0.438486387455051
"245",-4.52992321003676e-07
"246",-0.0115975952768586
"247",-0.144055946977515
"248",-0.00671920055654135
"249",-0.00080136321965665
"250",-0.145021556807157
"251",-0.0501143337491883
"252",-1.89294427449074e-06
"253",-1.19428136000017e-05
"254",-0.0868371929866924
"255",-0.0260619559641305
"256",-0.0123359756512048
"257",-0.0230000465448298
"258",-0.0356620386385156
"259",-0.0106224975942883
"260",-2.44179922476566
"261",-1.03409045103435e-06
"262",-4.3060085605267e-05
"263",-0.361140105299643
"264",-0.0115206783875963
"265",-0.0214711795290268
"266",-0.00355386478410237
"267",-0.0320137592509301
"268",-0.000331017028660962
"269",-0.00182502095746305
"270",-0.900401382936613
"271",-0.469522524694246
"272",-0.0056507094415259
"273",-0.000659353413435953
"274",-0.325551019248542
"275",-6.37663719519439e-07
"276",-0.0168855361375995
"277",-0.0226961669528392
"278",-0.0372947612181568
"279",-1.11188638605204
"280",-1.03054820727002e-05
"281",-0.00122219114516987
"282",-0.0281834197705056
"283",-0.0175537452144877
"284",-0.270625845835311
"285",-0.0483109015372932
"286",-0.211786036008175
"287",-0.0211368900769397
"288",-0.152783688011848
"289",-0.00775918403766423
"290",-0.000811641794136705
"291",-0.00634681565895655
"292",-0.325706529839598
"293",-0.000191611488130124
"294",-0.195368697335763
"295",-0.0243413345098859
"296",-0.00872607981710975
"297",-0.110753200110608
"298",-0.115288057500564
"299",-0.103314614583193
"300",-0.000692252530303572
"301",-0.121933615584415
"302",-0.24070244351933
"303",-0.00665865621192911
"304",-0.607722388230827
"305",-0.102805498454686
"306",-1.24275012713076
"307",-0.14824702272502
"308",-0.0563793949651484
"309",-0.0996991204340803
"310",-0.0291891473718131
"311",-0.000231397662375706
"312",-0.267676220013567
"313",-0.0235178090538674
"314",-0.022663552073266
"315",-0.753653646035172
"316",-0.0334590577413978
"317",-0.107919994548448
"318",-0.00647618398271662
"319",-0.00354982952114008
"320",-0.22293538710919
"321",-0.172437786127563
"322",-0.227575471257745
"323",-0.00234011680966297
"324",-0.0268966391789948
"325",-0.0221913496370789
"326",-8.82534630226877e-05
"327",-0.644864819870097
"328",-0.0773056927520379
"329",-0.0173163838773794
"330",-0.00154142001212721
"331",-0.073487949278228
"332",-0.00822304149342705
"333",-0.00447019384331068
"334",-0.386980296153504
"335",-0.697976743717946
"336",-0.00528218885699894
"337",-0.242106408527783
"338",-1.3710110870312
"339",-8.72377967612747e-05
"340",-0.0197763214393649
"341",-0.00468109288625075
"342",-0.270674381931489
"343",-0.180246418331851
"344",-0.0605213215578828
"345",-0.0184037933460022
"346",-0.105462903849303
"347",-0.000400206517351462
"348",-0.0745137458830356
"349",-0.198278345090162
"350",-0.0151334479578173
"351",-0.532664349884353
"352",-0.00277443668420837
"353",-0.752474337156778
"354",-0.110091772546219
"355",-0.00254115700996642
"356",-0.00742786484902482
"357",-0.0855541243669098
"358",-0.0052141611144673
"359",-0.000991876692517703
"360",-0.00715202815682835
"361",-0.107114089357953
"362",-0.588310230422307
"363",-0.61701396634476
"364",-0.190875290460759
"365",-0.187463274226665
"366",-0.0335009023923037
"367",-0.369781760025248
"368",-0.0229323195378042
"369",-0.0473029150949258
"370",-0.28443764160034
"371",-0.0572919767793941
"372",-0.450906890676499
"373",-0.16230119532612
"374",-0.101096494638563
"375",-0.164852988079969
"376",-0.00564890738008583
"377",-0.133863315719232
"378",-0.0162459692566993
"379",-0.669914964851716
"380",-0.599823883728648
"381",-0.0246816405190706
"382",-0.122038586999615
"383",-0.135054162223998
"384",-0.00289766052423967
"385",-0.363760386241889
"386",-0.000723348387479677
"387",-0.132990833852376
"388",-0.241128608429302
"389",-1.25539241334106
"390",-0.00656465893860727
"391",-0.176224819240058
"392",-0.408491862958055
"393",-0.1663301125172
"394",-0.0480754960647977
"395",-0.123956946634795
"396",-0.574366007289137
"397",-0.114211957861037
"398",-0.0191668993045274
"399",-0.113436010733463
"400",-0.0212506717127246
"401",-0.00969965414233833
"402",-0.00905289164030426
"403",-0.000730543224819611
"404",-0.13709210747246
"405",-0.00671191637123507
"406",-0.452679836698794
"407",-0.0797589935686043
"408",-0.00232426958342416
"409",-0.0553302971820074
"410",-0.446102036781254
"411",-0.281876469428211
"412",-0.702212360615515
"413",-0.0932204387510881
"414",-0.184619795732124
"415",-0.396571635891513
"416",-0.534847179780086
"417",-0.00435340393448687
"418",-0.0715235898879303
"419",-0.0571416277795849
"420",-0.175584144376706
"421",-0.0235569133424042
"422",-0.0192840015969713
"423",-0.0432641387212917
"424",-0.137113721524645
"425",-0.0413720004529618
"426",-0.682749384247508
"427",-0.018536359119363
"428",-0.0723277043186961
"429",-0.0246522162194145
"430",-0.230233474296136
"431",-0.251173624543664
"432",-0.0413570362469666
"433",-0.00743308833542687
"434",-0.00292517363893066
"435",-0.000368302574772481
"436",-0.187212941160331
"437",-0.177058011680324
