"","x"
"1",-0.281469318136664
"2",-0.996937906598498
"3",-0.230007187917874
"4",-0.137272148810197
"5",-0.804856332022487
"6",-0.556790311769621
"7",-0.342697494538757
"8",-1.06055342122266
"9",-0.88957032952928
"10",-0.144935431765251
"11",-0.237081185714022
"12",-0.184297049251826
"13",-0.667204195905554
"14",-0.0739980503392776
"15",-0.115766349584716
"16",-0.619432872122569
"17",-0.222074663654023
"18",-0.863620421138441
"19",-0.631415894660601
"20",-0.913723013614937
"21",-0.417223203724344
"22",-0.306424194980113
"23",-0.472860213457855
"24",-0.635607146019094
"25",-0.23727671061809
"26",-0.595981112809307
"27",-0.317125761346794
"28",-0.563421696500524
"29",-1.04176952793302
"30",-0.214612468859383
"31",-0.521372851456817
"32",-0.465447955678903
"33",-0.506017428634699
"34",-0.87991178063732
"35",-0.773081693230469
"36",-0.861305330161314
"37",-0.0810078545518065
"38",-0.497568418556683
"39",-0.091560323142623
"40",-0.794301640380295
"41",-0.449239238047628
"42",-0.0588340570874566
"43",-0.431200424526638
"44",-0.233036117729957
"45",-0.365213371862673
"46",-0.858441201088234
"47",-0.0916201505947034
"48",-0.566940484926232
"49",-0.460925380742371
"50",-0.771049819745656
"51",-0.692727202410906
"52",-0.659858366311441
"53",-0.812000329834202
"54",-0.208365174225424
"55",-0.529925494926997
"56",-0.186038395313147
"57",-0.355547160224706
"58",-0.262309082341716
"59",-0.764067345963953
"60",-0.259891436717399
"61",-0.184009851309064
"62",-0.418725367941853
"63",-0.146999226845257
"64",-0.171828785160191
"65",-0.652087340608408
"66",-0.221896092513517
"67",-0.370659132920532
"68",-0.311166868237793
"69",-0.347951134042298
"70",-0.0863507530085863
"71",-0.222148814016978
"72",-0.3654230125538
"73",-0.532005803441235
"74",-0.84029151224377
"75",-0.970328214914683
"76",-0.63696192987257
"77",-0.307760233360347
"78",-0.162239077789563
"79",-0.604051662063126
"80",-0.4585923944886
"81",-0.701765872075273
"82",-0.254159022897561
"83",-0.368501490457831
"84",-0.185665218071497
"85",-0.182682327694847
"86",-0.426137167660611
"87",-0.546704038506779
"88",-0.426985488682615
"89",-0.848369217408442
"90",-0.61660759666733
"91",-0.479310231341785
"92",-0.178006160792086
"93",-0.24146619584786
"94",-0.5379611389378
"95",-0.676451283898809
"96",-0.243974485047366
"97",-1.04854908536167
"98",-0.554193461204171
"99",-0.32428170213253
"100",-0.486718202786152
"101",-0.59160756211895
"102",-0.459156045970529
"103",-0.252716008732243
"104",-0.106900253845358
"105",-0.123629488374116
"106",-0.856656976156373
"107",-0.418979958143384
"108",-0.460430254061681
"109",-0.312279923104193
"110",-0.425321563704566
"111",-0.393447194118549
"112",-0.686789891096395
"113",-0.978945427007582
"114",-0.205467864861233
"115",-0.357617759458578
"116",-0.431955557026304
"117",-0.33291667506303
"118",-0.563431704405718
"119",-0.717690084231043
"120",-0.731015126493353
"121",-0.399380267888947
"122",-0.65420993518565
"123",-0.320862962889388
"124",-0.133464548786307
"125",-0.460000347748551
"126",-0.252890817572565
"127",-0.253285053369025
"128",-0.355735029271966
"129",-0.555519545485918
"130",-0.638108884619842
"131",-0.491518688889284
"132",-0.601385749422614
"133",-0.547440692638898
"134",-0.401421165068932
"135",-0.328926263831385
"136",-0.305562503590301
"137",-0.614053478497369
"138",-0.554200798413598
"139",-0.22736192414336
"140",-0.0812284972282543
"141",-0.539399531636261
"142",-0.141065705847487
"143",-0.344917737948712
"144",-0.205940813684211
"145",-0.544148708931339
"146",-0.187705038349166
"147",-0.614617620798354
"148",-0.267581428987261
"149",-1.20329875393066
"150",-0.586766278022516
"151",-0.255514779114608
"152",-0.203937597071069
"153",-0.940724375641738
"154",-0.358301895866353
"155",-0.17553791754115
"156",-0.443903910491178
"157",-0.378711790845491
"158",-0.230533069818805
"159",-0.408276145245022
"160",-0.612398391959252
"161",-0.537052397296733
"162",-0.67620995582983
"163",-0.353942137026757
"164",-0.119630726106544
"165",-0.236528793955826
"166",-0.492353468953787
"167",-0.417844199080257
"168",-0.411262291956001
"169",-0.50566291258304
"170",-0.095328341561086
"171",-0.277133116651386
"172",-0.75567100815193
"173",-0.487448824938963
"174",-0.206249019143397
"175",-0.135287632374691
"176",-0.255490345927823
"177",-0.152226995914865
"178",-0.468973091422394
"179",-0.152995148478118
"180",-1.15959175337815
"181",-0.648938926490284
"182",-0.0321150105496866
"183",-0.604123149084785
"184",-0.632401138177561
"185",-0.271393007392446
"186",-0.173910123401122
"187",-0.309867345094692
"188",-0.18816486033847
"189",-0.371890840997688
"190",-0.260345178504645
"191",-0.1104414924531
"192",-0.136435181940896
