"","x"
"1",-0.483100029745695
"2",-0.490093877391535
"3",-0.0971842971243009
"4",-0.417967334198177
"5",-0.0309153256218233
"6",-0.127429191575766
"7",-0.0854577821753209
"8",-0.375656283441053
"9",-0.841405684407629
"10",-0.567608228886984
"11",-0.342769055863935
"12",-0.372308305984744
"13",-0.566309939350025
"14",-0.361614498941424
"15",-0.347902561857239
"16",-0.670979403526636
"17",-0.166123460530063
"18",-0.479958032768274
"19",-0.357836488867534
"20",-0.780651968985067
"21",-0.142886430973679
"22",-0.120319515946676
"23",-0.430034387420156
"24",-0.256250665217126
"25",-0.437928047904289
"26",-0.380309034450304
"27",-0.353755836319863
"28",-0.216605473913522
"29",-0.406038834242267
"30",-0.432003750234552
"31",-0.535144692758652
"32",-0.190984636674265
"33",-0.35546472167086
"34",-0.789652506175792
"35",-0.64104691015122
"36",-0.111746536956492
"37",-0.307056732818455
"38",-0.318944042012933
"39",-0.393154156937954
"40",-0.35572011219348
"41",-0.525168168940053
"42",-0.308912107591928
"43",-0.394449305248781
"44",-0.701735817642662
"45",-0.328982470476612
"46",-0.403931952904864
"47",-0.226611567724806
"48",-0.478527905824312
"49",-0.0203357824344664
"50",-0.523767299748868
"51",-0.100654721688138
"52",-0.378309897063921
"53",-0.644048476678025
"54",-0.123691324559322
"55",-0.183902307307132
"56",-0.648560362372409
"57",-0.121411905317948
"58",-0.0417673505096854
"59",-0.283305846240143
"60",-0.157808743877267
"61",-0.653371229312681
"62",-0.520974238388284
"63",-1.27080255744131
"64",-0.283682084228593
"65",-0.199879311634774
"66",-0.544463210233959
"67",-0.431275774575906
"68",-0.262833388490657
"69",-0.444607664659798
"70",-1.04535626878799
"71",-0.30490865594729
"72",-0.224725345194435
"73",-0.713866544287165
"74",-0.338042831726558
"75",-0.516696462807223
"76",-0.0763060745335907
"77",-0.325403645002681
"78",-0.759563547181352
"79",-0.398652053490681
"80",-0.377532013769612
"81",-0.341282024405073
"82",-0.320049332279125
"83",-0.374715373390477
"84",-0.171173570772407
"85",-1.57284717532139
"86",-0.572417757927933
"87",-0.889927363500567
"88",-0.319619541561637
"89",-0.0783929552028549
"90",-0.104650563816105
"91",-0.348809772485341
"92",-0.0515512577020497
"93",-0.772227159429669
"94",-0.810127168176139
"95",-0.40326388606778
"96",-0.809685585573226
"97",-1.04266390202458
"98",-0.0571325692325308
"99",-0.604836032978205
"100",-0.773691823546867
"101",-1.19115824800597
"102",-0.324236742225666
"103",-0.506797227102532
"104",-0.852466471089601
"105",-0.298979633064831
"106",-0.651419892682549
"107",-0.249747656021118
"108",-0.13867008309316
"109",-0.776366020683996
"110",-0.64190483041955
"111",-0.535318982490576
"112",-0.696325121340663
"113",-0.831898273533101
"114",-0.608339024406765
"115",-0.709469609121746
"116",-0.530031335789658
"117",-0.3206285771762
"118",-0.563282277150675
"119",-1.4120228952499
"120",-0.249660515052725
"121",-0.693147180559945
"122",-0.693147180559945
"123",-0.693147180559945
"124",-0.693147180559945
"125",-0.693147180559945
"126",-0.693147180559945
"127",-0.693147180559945
"128",-0.693147180559945
"129",-0.693147180559945
"130",-0.693147180559945
"131",-0.693147180559945
"132",-0.693147180559945
"133",-0.731107120330804
"134",-0.848131320905411
"135",-0.25773626899062
"136",-0.597451576098102
"137",-0.610126657499809
"138",-0.553085064721907
"139",-1.01825198277348
"140",-0.54164728145775
"141",-0.753208522926997
"142",-0.327932108197859
"143",-0.791422162715447
"144",-0.784013936736723
"145",-1.17785196142719
"146",-1.14207498136495
"147",-0.305983835187869
"148",-0.78125234180325
"149",-0.52290081248473
"150",-0.766854783761922
"151",-0.428135102276804
"152",-0.713260566380519
"153",-0.497802830174695
"154",-0.631034663042644
"155",-0.592764615734777
"156",-0.436344236409136
"157",-1.93227570968691
"158",-0.625070899507004
"159",-0.20495506444136
"160",-0.67160592173051
"161",-0.854978722531607
"162",-0.620514671215025
"163",-0.774319383134716
"164",-0.297727198074699
"165",-0.249738393981826
"166",-0.387547347724153
"167",-0.818289995435855
"168",-0.669240438372904
"169",-0.693147180559945
"170",-0.693147180559945
"171",-0.693147180559945
"172",-0.693147180559945
"173",-0.693147180559945
"174",-0.693147180559945
"175",-0.693147180559945
"176",-0.693147180559945
"177",-0.693147180559945
"178",-0.693147180559945
"179",-0.693147180559945
"180",-0.693147180559945
"181",-0.677513503271972
"182",-0.219283421373768
"183",-0.444492008994413
"184",-1.53808420074889
"185",-0.580735828996546
"186",-0.28051561461247
"187",-0.914782779796926
"188",-1.62679657245126
"189",-0.264963081652351
"190",-0.607763125268293
"191",-0.387561284264559
"192",-0.172788272934903
"193",-0.494613498462049
"194",-0.455752461252591
"195",-0.344536227578162
"196",-0.0857507980137858
"197",-0.428290164114151
"198",-0.639228002091515
"199",-0.730597771614126
"200",-1.09761050366738
"201",-0.362293735530863
"202",-0.386723903226693
"203",-0.357589560611805
"204",-0.56070281629821
"205",-1.06323474787329
"206",-0.471876472451881
"207",-0.771596437053119
"208",-0.115144582486718
"209",-0.637934338129969
"210",-1.31461200251965
"211",-0.367658229551422
"212",-1.31700844737607
"213",-0.398875215947458
"214",-0.47168874136899
"215",-1.22532653265084
"216",-0.489278615739524
"217",-0.791672485568873
"218",-0.757807607350701
"219",-1.27625978571285
"220",-0.650032736548586
"221",-0.5939662805299
"222",-0.546599050162055
"223",-1.21016650983109
"224",-0.805880411512174
"225",-0.65780632212153
"226",-0.161123642202869
"227",-0.816608492003051
"228",-0.621469591678087
"229",-0.205305821850014
"230",-0.80063363636223
"231",-0.359831735685291
"232",-0.597645720454194
"233",-0.43956520529732
"234",-0.823967377976956
"235",-0.658786070421116
"236",-0.591942452763843
"237",-0.934505394035195
"238",-0.75889350599633
"239",-0.726065016244463
"240",-0.745328936699758
"241",-0.276321476362689
"242",-0.350630593836791
"243",-0.867170218899217
"244",-0.207443832142188
"245",-0.327886057096154
"246",-0.627393052725858
"247",-0.352517703058815
"248",-0.477337637055396
"249",-0.140555325484389
"250",-0.0645754541420366
"251",-0.048853861897668
"252",-1.18222170419942
"253",-0.0957286047138083
"254",-0.43581690142044
"255",-0.296495802727757
"256",-1.03249292532988
"257",-0.209606189149641
"258",-0.0640654446733636
"259",-0.140590567651523
"260",-0.238514690785229
"261",-0.238495227998906
"262",-0.539186349180573
"263",-0.212333615184106
"264",-0.447241301829214
"265",-0.298003271732872
"266",-0.480242749666255
"267",-0.631506926195724
"268",-0.11029447701922
"269",-0.425500938164735
"270",-0.266213620288391
"271",-0.746248417971526
"272",-0.703134963182445
"273",-0.314775337903206
"274",-0.726785957052075
"275",-0.653738937821626
"276",-0.324853069990952
"277",-0.0226642566377543
"278",-0.186616944886609
"279",-0.516532925473327
"280",-0.0429253024280546
"281",-0.21946989605384
"282",-0.329403975544951
"283",-0.0721792620119535
"284",-0.0319622140171371
"285",-0.139055326681829
"286",-0.0675362990523572
"287",-0.00162925442858224
"288",-0.00894724745434977
"289",-0.425024656921152
"290",-0.205606341192125
"291",-0.2896622587362
"292",-0.855493237140671
"293",-0.0940383134982816
"294",-0.597847539968803
"295",-0.0798374137196215
"296",-0.398900951906324
"297",-0.453289033493278
"298",-0.759264017954843
"299",-0.549978355392621
"300",-0.199712655782174
"301",-2.69977852087044
"302",-0.211003090189963
"303",-0.802523254156919
"304",-1.53115174018863
"305",-0.723327853225488
"306",-0.628703869267054
"307",-0.375683933274393
"308",-0.889996831278964
"309",-1.64054566313406
"310",-0.457580944271544
"311",-0.28474606394782
"312",-0.203981637085193
"313",-0.31159897971612
"314",-0.627003575785983
"315",-0.733299405729799
"316",-0.336160146974361
"317",-1.04811023304067
"318",-0.599165745214905
"319",-0.80699235952435
"320",-0.689935074116743
"321",-0.502621294559925
"322",-0.343024515117716
"323",-0.603917574994898
"324",-0.387888277142674
"325",-0.134488238576872
"326",-0.550196252103271
"327",-0.460393370892323
"328",-0.396903066359411
"329",-0.692831550892122
"330",-0.637692094702657
"331",-0.535302360767188
"332",-0.62238937602796
"333",-0.610185971222286
"334",-0.300905266314418
"335",-0.588626350362285
"336",-0.296224911674551
"337",-0.432446131289343
"338",-0.506015206663569
"339",-0.771430101995975
"340",-0.249143634097884
"341",-0.873343234063647
"342",-0.283495603450336
"343",-0.235077377899102
"344",-0.726111089552618
"345",-0.374020780132212
"346",-0.472512717495161
"347",-0.450941723405817
"348",-0.839794994716787
"349",-0.845361452768578
"350",-0.692984730208018
"351",-0.197235117658222
"352",-0.356046065857576
"353",-0.379061075477094
"354",-0.580481688179207
"355",-0.417211815651339
"356",-0.549519910993231
"357",-0.322795962390019
"358",-0.201737748234394
"359",-0.699639351989926
"360",-0.981039378539854
"361",-1.12338955607225
"362",-0.521162350178455
"363",-0.33343721973571
"364",-0.527202613521813
"365",-0.801851951083842
"366",-1.02973043154049
"367",-0.406455001036444
"368",-0.807666355252116
"369",-0.457193730506791
"370",-0.436375623296721
"371",-0.953726209156828
"372",-0.575309615354629
"373",-0.609246258289334
"374",-0.452278405462227
"375",-1.15480829271461
"376",-0.488229347168047
"377",-0.81364998873276
"378",-0.291698485566357
"379",-0.578276419515642
"380",-0.846648311831373
"381",-1.10321487990937
"382",-0.468093804108195
"383",-0.518191943007162
"384",-0.588815466821501
"385",-0.420043544025769
"386",-0.49515786297729
"387",-0.568507467286692
"388",-0.308826924172172
"389",-0.503559871645587
"390",-0.349092504559565
"391",-0.724223851385344
"392",-0.617920161240653
"393",-0.852725166516658
"394",-0.663323223490366
"395",-0.112895491411827
"396",-0.464751815755261
"397",-0.612440012404965
"398",-0.610488283628658
"399",-1.92397741783173
"400",-0.417420561993397
"401",-0.288110100586123
"402",-0.450791766956239
"403",-0.99601041454579
"404",-0.968166755441719
"405",-0.55003999972849
"406",-1.30453917087993
"407",-0.511404308890579
"408",-0.740823254791859
"409",-0.6404510062677
"410",-0.612946179754533
"411",-0.525527700156427
"412",-0.362928114572201
"413",-0.403701507427634
"414",-0.5994385274524
"415",-0.589138777116553
"416",-0.515738776073308
"417",-0.403549831942994
"418",-1.01011117025701
"419",-0.667631508506773
"420",-0.908037565220495
"421",-1.11160949143322
"422",-0.393441792705182
"423",-0.541489131104599
"424",-0.383956092593613
"425",-0.566084666831362
"426",-0.440728807339235
"427",-0.250724990662003
"428",-0.0939019980600825
"429",-0.33656567191968
"430",-0.290621592274936
"431",-0.491163714715178
"432",-0.436275926468647
"433",-0.349765010527177
"434",-1.16301378337132
"435",-0.707831486666915
"436",-0.194425837167208
"437",-0.856851792155014
"438",-0.14570231882772
"439",-0.197773667287689
"440",-0.464540740767654
"441",-0.719870064335199
"442",-0.697516320587067
"443",-0.534946143587748
"444",-0.153638852772822
"445",-0.331172313704652
"446",-0.30522958064269
"447",-0.712111607031895
"448",-0.352852709944935
"449",-0.564662611085783
"450",-0.195588883487371
"451",-0.299293990035574
"452",-0.0449844198409572
"453",-0.16468957206249
"454",-1.05630689388947
"455",-0.625507510844491
"456",-0.256566639618463
"457",-0.247473824815644
"458",-0.253477815103499
"459",-0.592654722009377
"460",-0.593830116219776
"461",-0.923080350594858
"462",-0.466329706318089
"463",-0.532437997403617
"464",-0.583717530740616
"465",-0.696272389619915
"466",-0.675335089841651
"467",-0.413975414893439
"468",-0.296606292123903
"469",-0.178661520741746
"470",-0.971650846201526
"471",-0.0777182310425164
"472",-0.0542322073249494
"473",-0.0455980651884539
"474",-0.109512142555165
"475",-0.305052050672753
"476",-0.831136928493991
"477",-0.225141222894411
"478",-2.36513532622289
"479",-0.139519783562764
"480",-0.18729128361398
"481",-0.420701455311774
"482",-0.333186461013961
"483",-0.216879531625059
"484",-0.515822005775119
"485",-0.554411288092717
"486",-0.68061755526999
"487",-0.298917282174151
"488",-1.03692914428175
"489",-0.400423272048766
"490",-0.486416561804559
"491",-0.745235534630154
"492",-0.626484048278061
"493",-0.323173525107719
"494",-0.587097698508048
"495",-0.427017923408404
"496",-0.589469674376645
"497",-0.541876879990493
"498",-0.940361300557383
"499",-0.78721461027348
"500",-0.60475419758425
"501",-0.411516426955737
"502",-0.541926635499024
"503",-0.581390469696703
"504",-0.544223370226598
"505",-0.516905488218209
"506",-0.895403693985716
"507",-0.215522537641991
