"","x"
"1",-0.563288587918772
"2",-0.562803410415061
"3",-0.172976134323846
"4",-0.456734937203111
"5",-0.0561781589446283
"6",-0.156643288820956
"7",-0.126345044945666
"8",-0.364753241637382
"9",-0.878902542272689
"10",-0.574629392411066
"11",-0.416497879801258
"12",-0.386664939350061
"13",-0.568917576596304
"14",-0.366345587455335
"15",-0.354613820005205
"16",-0.673139387577277
"17",-0.164351351590338
"18",-0.483990679710333
"19",-0.360879508597318
"20",-0.79108254650709
"21",-0.144506475282541
"22",-0.117555215331358
"23",-0.432428610905897
"24",-0.260303121267978
"25",-0.437928047904289
"26",-0.380309034450305
"27",-0.353755836319863
"28",-0.216605473913522
"29",-0.406038834242267
"30",-0.432003750234552
"31",-0.535144692758654
"32",-0.190984636674265
"33",-0.355464721670862
"34",-0.789652506175794
"35",-0.641046910151221
"36",-0.111746536956492
"37",-0.30733488139443
"38",-0.320151066093177
"39",-0.39347853857587
"40",-0.356502661409723
"41",-0.524774618854882
"42",-0.309336719473642
"43",-0.394718873581991
"44",-0.702557717649754
"45",-0.329310024770429
"46",-0.404523453729074
"47",-0.226449484853073
"48",-0.47949025460834
"49",-0.0383147725846449
"50",-0.708360832607835
"51",-0.164441283550208
"52",-0.406777672618013
"53",-0.674566313235249
"54",-0.144268312732622
"55",-0.249397652241784
"56",-0.760216678107677
"57",-0.155742993502269
"58",-0.0787347001957521
"59",-0.331298439257945
"60",-0.205945545984737
"61",-0.65337122931268
"62",-0.520974238388284
"63",-1.27080255744131
"64",-0.283682084228593
"65",-0.199879311634774
"66",-0.544463210233959
"67",-0.431275774575906
"68",-0.262833388490657
"69",-0.444607664659798
"70",-1.04535626878798
"71",-0.30490865594729
"72",-0.224725345194435
"73",-0.68368164974381
"74",-0.334076538348393
"75",-0.539116273542255
"76",-0.0743059067509737
"77",-0.276722084586108
"78",-0.882718637204846
"79",-0.321645621632573
"80",-0.361126663879937
"81",-0.335128837104686
"82",-0.280388665503773
"83",-0.452990705409166
"84",-0.201715254544735
"85",-1.57284717532139
"86",-0.572417757927932
"87",-0.889927363500568
"88",-0.319619541561637
"89",-0.0783929552028552
"90",-0.104650563816105
"91",-0.348809772485341
"92",-0.0515512577020497
"93",-0.77222715942967
"94",-0.810127168176139
"95",-0.403263886067779
"96",-0.809685585573228
"97",-1.01576008436982
"98",-0.0558366210932704
