"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,0.949981725668715,-1.03780208653221,0.340100799957782,-1.01281964743818,0.254356496061457,-0.0996633715544938,0,0,0,0,0,0,0,0,2.97018340574155e-29,0,0,0,0,0,0,0,0,0,0,3.81941208668869e-29,0,0,0,-0.0809241054200339,0,0,0.167002037105949,0,0,0,0,0,0,0,0,-1.1643759562559e-29,-1.25637844427965e-29,3.99234727562942e-29,0,0,0,0,0,0,8.54921317621862e-30,-8.43898053618132e-30,0,-4.00825119235177e-29,0,0,3.06346563992445e-30,0,0,0,0,-1.61225960869426e-29,0.0181005678870668,0,0,0,-0.114735452658885,8.61770486333573e-29,0,0,0,-4.36419016902832e-30,0,1.83232339393678e-29,0,0,4.79238372889622e-29,-1.85847271540241e-29,0,0,0,0,0,0,0,0,0,0,0,0,0.022768835406313,0,2.74238877514473e-29,0,0,-3.01250149770702e-29,0,-6.62178945229618e-29,0
"2",0,0.52225296398704,-0.898775047404588,0.072658596971,-0.775074697603756,0.0572869724355692,-0.413442230879718,0,0,1.90480502046235e-28,0.255887604507214,0,0,0,0,0,1.21188038746652e-28,0,0,0,0,0,0,0,0,9.14280726702253e-30,0,0,0,-3.2316555989459e-28,0,6.63454416302201e-29,0,1.94308866790812e-28,0,0,0,0,0,0,0,0,0,0,0,0,-3.42777832595509e-28,0,0,0,0,0,0,1.58198019484326e-29,8.8815599211765e-30,0,0,1.99344760899361e-29,0,-4.00376230209356e-29,0,0,0,1.10898848617118e-28,0,0,-0.213044284436984,5.62938966581242e-29,0,0,-6.52895635868128e-30,-4.61325462158151e-29,2.47473217439061e-30,0,0,0,0,0,0,0,0,0,0,0,-2.69792561534904e-29,0,0,0,6.80649979066526e-29,7.51125473656612e-29,0,7.57453130978726e-30,0,0,-2.62503266426123e-30,0,0,0,0,0
"3",0,0.403357398431622,-0.844804865617144,0.215299356906038,-0.440771675244029,0.0216671390923559,-0.140810133043595,-2.26213773796666e-29,0,0,0,-5.91334019347546e-29,0,-5.52323025111636e-29,0,0,0,2.42518359316991e-29,-1.05998031497261e-28,0,-0.184467032387342,0,0,0,2.03731556567139e-29,0,0,-4.30323066823565e-29,0,0,0,0,1.38071672202925e-29,0.454899280947614,0,0,-2.67825658615319e-29,0,0,-7.51749340324956e-29,0,0,0,0,0,1.3777835749953e-29,0,-0.0947766307615185,0,0,7.48550597643856e-30,1.53877350788662e-29,0,7.94386474795878e-30,0,0,0,2.24573520185836e-29,0,0,0,4.15003983419076e-30,0,0,-4.44509472632745e-29,0,-0.130426825309256,0,0,0,0,0,-1.36870492894358e-29,0,0,0,0,0,-5.38392759597039e-30,4.6454149398262e-29,-3.12823845200931e-29,0,0,0,0,0,0,0,0,0,0,-7.37159169224376e-30,4.91915374059192e-29,0,0,0,-1.53348841509423e-29,0,0,0
"4",-4.74706693504159e-29,0.275900014453596,-0.406234976569952,0.209455101998011,-0.347070847071429,-2.81155509544717e-29,-0.00787736357295688,0,3.51467409212586e-29,8.69440114778207e-29,0,0,0,0,0,0,0,1.16025011005349e-28,0,0,0,0,0,-3.11540467503495e-29,0,0,0,0,0,0,0,0,0,0.114922113094897,0,0,0,0,0,0,0,0,0,0,0,0,-1.43586665058433e-28,-2.35409569520645e-28,0,0,0,0,0,0,0,0,-1.31887361578836e-29,5.30220701172403e-29,0,0,-3.01432714857065e-29,-1.2721200838638e-29,0,2.24827387295872e-29,2.54400734523225e-29,0,-0.0875116342860376,0,0,0,0,0,0,0,-4.78887700037079e-29,0,-3.55567267183841e-29,0,0,0,0,0,0,0,0,-9.08724926927128e-29,0,0,0,0,7.98252676876105e-29,0,0,0,0,0,0,0,0,0
"5",0,0.564741123047534,-1.09699113950219,0.479155101959587,-0.742810516377073,0.357183671071319,-0.223837502457379,0,0,0,0,-2.1306942492304e-27,7.92969414827334e-28,0,0,0,0,0,0,0,-0.0538583693547341,0,0,0,0,0,0,-1.69067102187056e-27,-1.00325764742532e-28,0,0,0,1.3403598812729e-27,0.115321576282363,1.435687100911e-27,0,0,0,0,0,0,0,5.42045462225883e-28,0,0,0,0.1298428492045,-0.0921694501568466,-5.90325793447824e-28,0,0,-4.95168599709099e-28,2.25479551696878e-28,0,0,0,0,-0.0988157960514679,0,0,0,-2.37128475308493e-28,0,0,0,9.84371893391876e-29,-2.39395262551529e-28,0,0,7.07609978092808e-28,0,0,0,0,0,0,0,0,0,0,6.5653701429231e-29,1.10996902186595e-27,2.14201407988856e-28,0,0,0,0,0,0,0,0,0,0,0,-2.502671268407e-28,0,1.12851346851279e-27,0,0,0
"6",-0.100811049998646,0.405997606956705,-0.751067727841191,-2.55596268566242e-30,-0.203807130624988,0.16306419488759,0,-5.95339093146426e-30,0,0,0,0,0,0,0,1.17862202695333e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90935783866282e-30,0,0,0,0,0,0,0,-9.79861793473039e-30,-0.231587481364635,0,0,0,0,0,0,0,1.3547012136934e-29,0,0,0,0,0,0,-2.43751353890162e-30,0,0,0,0.161202647176379,0,0,0,0,0,0,0,0,0,0,0,0,-1.73876986551532e-31,-0.185528591770719,0,0,0,0,0,0,0,0,0,-0.0666672963793034,0,0,0,0,0,0,0,0,0,0,0,-4.39120028485643e-30
"7",-0.0663657635775843,0.481776830387056,-0.708612252915865,0,-0.3973749336991,0.139573818566421,0,0,0,3.6115236455061e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291532733037779,-9.85783638336928e-30,0.0939727114723592,5.76866755293943e-30,0,0,0,0,-3.88545287833455e-31,-0.183592862435277,0,0,0,0,0,-9.90375741494742e-31,0,0,0,0,0,3.11876110461039e-30,0,0,0,0,0,0,0.247226594297148,-4.56812066335934e-31,0,0,0,0,0,0,0,-1.973134026795e-30,0.0558886760438445,0,0,0,0,0,0,3.54352873803134e-30,0,0,0,0,1.29302047166646e-30,0,0,0,0,-0.113714940371165,0,0,0,0,0,0,0,0,0
"8",-0.0400693852180359,0.81365801455014,-0.848969876819956,0,-0.571292191466803,0,0,0,0,0,0,0,0,0,0,0,-2.84874623344978e-29,0,0.0150557471678928,2.71112965219042e-29,0,0,0,0,0,-3.34083509519633e-28,0,0,0,0,0,0,-0.0182005385250777,0,0,2.44766388366979e-29,-5.27389374730002e-29,0,0,0,0,0,0,0.0961334127177197,5.45025243069523e-28,0,-6.10999761861846e-28,-2.25235273217031e-28,0,0.0187883568329176,0,0,0,0,0,5.17778802757827e-29,0,0,-2.23203977599379e-28,2.18941107303985e-28,0,0,0,0,-8.76653113065654e-28,-1.79859129470078e-28,0,0,-2.04655079664542e-28,0,0,0,0,0.0130898750657857,-1.30266032643433e-29,0,2.2727287262871e-28,-2.71043453336668e-29,4.69817494448876e-28,0,0,0,0,0,0,0.139829244682112,0,0,0,6.53772565410317e-28,0,0,0,-6.00022155392578e-28,0,0,0,4.3846811182082e-28,0,0
"9",-0.244882344468072,0.878266699891132,-0.54589250363723,0,-0.184336740104063,0.497954375041233,-1.09539033362509e-29,-1.65290404309736e-30,0,0,0,5.62223544771248e-30,0,0,7.1031000403874e-30,0,0,0,0,0,0,0,0,0,0,0,8.55127954518775e-29,0,0,0,-1.39644913263086e-28,0,0,0,0,0,0,0,0,3.90959337872209e-29,0,0,0,0,-0.116750600689026,0,0,0,0,0,0,0,-0.0505137696717894,0,0,0,0,0,0,3.12235644333978e-29,-3.94369691009817e-29,0,0,0,0,2.51105016600853e-29,0,-1.95232529104489e-30,0,0,4.5768033235285e-30,0,0,0.0213472488379843,0,0,0,0,0,0,-1.8505707232503e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-0.131708563692577,0.543668467890289,-0.31002487818257,0,-0.0647274274525732,0.062348774596328,0,0,0,0,0,0,-8.95596250697497e-30,0,0,0,-9.21513994454297e-30,0,0,0,0,0,0,0,1.57257938455806e-30,-2.09208894125314e-30,-2.71549154008817e-30,0,0,0,0,0,0,0,4.60555923172468e-30,0,0,0,0,0,0,0,0,0,9.01334736829162e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335560168926885,0,0,0,0,0,0,0,0,0,-2.48235155406292e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
