"","x"
"1",-0.0720698471281105
"2",-0.95473294469699
"3",-0.0532906292471952
"4",-0.00697562507251171
"5",-0.0827080005534915
"6",-0.128632580566338
"7",-0.214059878325492
"8",-0.969747398482817
"9",-0.784802971109108
"10",-0.0080415423226114
"11",-0.0177348997618755
"12",-0.00649543282268278
"13",-0.966721451768207
"14",-0.00534732802780796
"15",-0.00550239222831638
"16",-0.1254075356324
"17",-0.0137123776456174
"18",-0.759914487962426
"19",-0.314398800020436
"20",-0.106226205700808
"21",-0.0181208645952402
"22",-0.0360885711744704
"23",-0.367368702373658
"24",-0.231863399944368
"25",-0.0104804703548384
"26",-0.713473952095133
"27",-0.0941266609670599
"28",-0.471188353250553
"29",-1.04175639049193
"30",-0.0144612981820997
"31",-0.0281002611379497
"32",-0.154200476133845
"33",-0.399283046456915
"34",-0.292873194673225
"35",-0.23362027150824
"36",-1.63569941509688
"37",-0.0117696544191543
"38",-0.227205305319033
"39",-0.00050146706047204
"40",-0.338180090893266
"41",-0.00430788072545298
"42",-8.7643248391353e-08
"43",-0.0282300221272765
"44",-0.000469721761598349
"45",-2.1576022114061
"46",-0.0183877119793916
"47",-0.000323900209866133
"48",-0.0425977343872721
"49",-0.0013841479671302
"50",-1.62995379015698
"51",-0.0226832690448405
"52",-0.339447152287951
"53",-1.00229377469689
"54",-0.00109318248756279
"55",-0.22919991352331
"56",-0.00125079277178321
"57",-1.65077040108576
"58",-0.0956305737307317
"59",-0.180280397289769
"60",-0.018845081352707
"61",-0.0136105817738802
"62",-0.0114889419721448
"63",-0.000413199406425942
"64",-0.000674989111235258
"65",-0.0307902443213658
"66",-0.0205560742182933
"67",-0.00205217864590614
"68",-0.784508765874111
"69",-1.00174206338917
"70",-3.75395572088357e-06
"71",-0.0121307136433922
"72",-0.121693081972315
"73",-0.0864949886157942
"74",-0.139342438592742
"75",-1.48380041083691
"76",-0.000398674213434841
"77",-0.0077710835445343
"78",-0.000859349539694607
"79",-0.00964213486435717
"80",-0.200499642211257
"81",-0.00680605408532321
"82",-0.124062042003554
"83",-0.00648411913736754
"84",-0.00943840931656664
"85",-2.6979180815623e-06
"86",-0.103742228399709
"87",-0.180160934344689
"88",-0.00625338209619036
"89",-0.095284857321145
"90",-0.0746248239916878
"91",-0.377098615463716
"92",-5.21211200537532e-05
"93",-2.60847507933095e-05
"94",-0.000549157053766057
"95",-0.0235026115330815
"96",-3.476152772916e-05
"97",-2.38763519322958
"98",-0.234112297930958
"99",-0.00714549127190463
"100",-0.646467501206369
"101",-1.26029442632593
"102",-0.018002779263212
"103",-0.000152448917318576
"104",-1.87325578051036e-05
"105",-1.67455309543167e-05
"106",-0.0943705788437981
"107",-0.012574240247315
"108",-0.0331755844924235
"109",-1.20330681734199e-05
"110",-0.0194685231210597
"111",-0.124234224981056
"112",-0.00214018287027531
"113",-1.55343654790371
"114",-0.000243478115123312
"115",-0.00149548516072543
"116",-0.0658675102362095
"117",-0.0741133798608527
"118",-0.0381368573964782
"119",-1.20531059766787
"120",-3.14964170122736
"121",-0.140064916719972
"122",-0.752586227708244
"123",-0.00505402821095659
"124",-0.000281970623400245
"125",-0.15800458345118
"126",-0.00278241396714966
"127",-0.00589711069329325
"128",-0.0766014992487054
"129",-0.0783662807915275
"130",-0.559158826773412
"131",-0.0884408526371528
"132",-0.226130633177726
"133",-0.706573793664769
"134",-0.0230716379680802
"135",-0.00521019776754342
"136",-0.00803327633402787
"137",-0.144378900830395
"138",-1.57468509911613
"139",-0.0343385683703896
"140",-9.65604140139404e-06
"141",-0.129372227813666
"142",-0.000493516332490986
"143",-0.153686118679242
"144",-0.00152631340069853
"145",-0.149023512901903
"146",-0.00176825001615853
"147",-0.226340085035637
"148",-0.444271365942664
"149",-0.974200264757985
"150",-0.0966305797109237
"151",-0.00320315779243968
"152",-0.0007339020755616
"153",-0.56521098189369
"154",-0.0398390820920937
"155",-0.00172145714682101
"156",-0.0301228563882502
"157",-0.0475976165251725
"158",-0.00817175386195464
"159",-0.310367597993034
"160",-0.729102253007565
"161",-0.5796420148455
"162",-0.243639773593342
"163",-0.0895626413242077
"164",-0.00828729053232124
"165",-0.140071489185625
"166",-0.0692119651651132
"167",-0.146732517511238
