"","x"
"1",-0.318213943256474
"2",-1.0159036845323
"3",-0.220966991361468
"4",-0.190272191217045
"5",-0.757233350316643
"6",-0.610487382119713
"7",-0.388668287671773
"8",-1.05187084376438
"9",-0.872084009086143
"10",-0.152774451258747
"11",-0.272046239235115
"12",-0.239427433217536
"13",-0.718894211260481
"14",-0.0904297943512521
"15",-0.139803590138677
"16",-0.618168326540129
"17",-0.259579474862234
"18",-0.822174776210584
"19",-0.580794199064274
"20",-0.987391894525332
"21",-0.492398529581292
"22",-0.339616289348636
"23",-0.460352348750066
"24",-0.684727322585541
"25",-0.230713633946806
"26",-0.620931815687943
"27",-0.39723361709798
"28",-0.573936800228893
"29",-1.03501761631214
"30",-0.265902415119603
"31",-0.567951285035445
"32",-0.545414370215122
"33",-0.617698843016975
"34",-0.824875206030568
"35",-0.813452651862749
"36",-0.807480259217039
"37",-0.0891927812165286
"38",-0.523767814657188
"39",-0.110545195876688
"40",-0.799236333509079
"41",-0.46961549730264
"42",-0.0566201733274273
"43",-0.415286218957532
"44",-0.221788279768421
"45",-0.367087291789012
"46",-0.853556396193566
"47",-0.0810547926211276
"48",-0.533501168119079
"49",-0.491889380837826
"50",-0.784538872778207
"51",-0.820966959688394
"52",-0.688321034816794
"53",-0.856331902355833
"54",-0.199829406611696
"55",-0.542276430423419
"56",-0.192727342355387
"57",-0.35219811129313
"58",-0.282864916496595
"59",-0.674272038953198
"60",-0.251389786934003
"61",-0.201877111277146
"62",-0.375771869317912
"63",-0.145174875011934
"64",-0.171435221231413
"65",-0.697490218471494
"66",-0.224331827885744
"67",-0.375246055883934
"68",-0.367245922209006
"69",-0.345269435755762
"70",-0.0775654106736996
"71",-0.244481621812266
"72",-0.373506300607569
"73",-0.547357196883012
"74",-0.753962241473748
"75",-0.968257824470286
"76",-0.612338735188073
"77",-0.336638438799413
"78",-0.150967646276097
"79",-0.592585909260056
"80",-0.460681918820856
"81",-0.643769023320087
"82",-0.268059630721925
"83",-0.383325657988569
"84",-0.166305925739446
"85",-0.166066790590792
"86",-0.39111833126518
"87",-0.506218958158535
"88",-0.419782035454702
"89",-0.754894639130192
"90",-0.642981451732869
"91",-0.460296389057198
"92",-0.169399412088609
"93",-0.197570542566527
"94",-0.474030216440825
"95",-0.647097041130773
"96",-0.213070935290302
"97",-1.12413406022059
"98",-0.511546958282103
"99",-0.271719806379123
"100",-0.508929213684835
"101",-0.604781420373787
"102",-0.378840689543037
"103",-0.2385462744234
"104",-0.110129373978953
"105",-0.0979398581639386
"106",-0.864825961970432
"107",-0.345601750785886
"108",-0.432967696656234
"109",-0.255511705708762
"110",-0.388557866315584
"111",-0.372118311566919
"112",-0.643167506751368
"113",-0.974149312920777
"114",-0.168807727436622
"115",-0.306299323505891
"116",-0.446259743793812
"117",-0.297342941228892
"118",-0.551351689635082
"119",-0.629852045733467
"120",-0.809338465024854
"121",-0.451219948729047
"122",-0.678700903171895
"123",-0.264883682470993
"124",-0.111058126177025
"125",-0.441473985434165
"126",-0.199038458573291
"127",-0.221354418582579
"128",-0.31884462546632
"129",-0.428788336868098
"130",-0.620000671395113
"131",-0.456700634091723
"132",-0.530390968640969
"133",-0.54874125494812
"134",-0.343845060737975
"135",-0.288994243279016
"136",-0.264078343971265
"137",-0.553292075903773
"138",-0.638674348584258
"139",-0.214467705048088
"140",-0.0493873477494464
"141",-0.510604731546105
"142",-0.117539688613781
"143",-0.33706183229381
"144",-0.173273004285969
"145",-0.526899525034058
"146",-0.152566652185121
"147",-0.598048083669731
"148",-0.312912056234637
"149",-1.17089513468294
"150",-0.616620450204478
"151",-0.199103096284529
"152",-0.151000607291049
"153",-0.841568135955168
"154",-0.323210787279738
"155",-0.141124614430276
"156",-0.366587200862603
"157",-0.376926702772146
"158",-0.223763607722562
"159",-0.492897492439762
"160",-0.588037356801591
"161",-0.543508169070435
"162",-0.672083030332379
"163",-0.344705354561993
"164",-0.121944196843581
"165",-0.287547859473236
"166",-0.438933433608957
"167",-0.424462521015399
"168",-0.368822531200231
"169",-0.520381434044896
"170",-0.102408170838289
"171",-0.304467610377708
"172",-0.797133668728283
"173",-0.450479469973518
"174",-0.22824098257472
"175",-0.136861063426715
"176",-0.277699252893959
"177",-0.155038115344841
"178",-0.487955511027413
"179",-0.150566912739264
"180",-1.24505819712323
"181",-0.57741778203803
"182",-0.0405118993952689
"183",-0.675482040405761
"184",-0.618187897780021
"185",-0.299395941854359
"186",-0.221390455982135
"187",-0.327317914513108
"188",-0.197088475906164
"189",-0.381626928259279
"190",-0.265607321220774
"191",-0.104176002198099
"192",-0.166020754743491
"193",-0.698582528988988
"194",-0.361922919568106
"195",-0.541916003341533
"196",-0.250463748719832
"197",-0.0932551181616395
"198",-1.21710292511372
"199",-0.628886322584668
"200",-0.539946756354407
"201",-0.319818359990447
"202",-0.674913765369309
"203",-0.45836134911893
"204",-0.314413231576215
"205",-0.401621270297195
"206",-0.348514987608599
"207",-0.134912809623928
"208",-0.164871283539301
"209",-0.101680251569856
"210",-0.552732670451331
"211",-0.291656151768183
"212",-0.215234193701668
"213",-0.406456813785044
"214",-0.190950307861284
"215",-0.388982265609312
"216",-0.651986710925635
"217",-0.377020183283491
"218",-0.299294301049307
"219",-0.48149502733283
"220",-0.490653796818889
"221",-0.371874447542661
"222",-0.597296835631725
"223",-0.784611016067936
"224",-0.575202093755041
"225",-0.148223682884356
"226",-0.636266999995576
"227",-0.525117609676797
"228",-0.396977259893365
"229",-0.488053141968694
"230",-0.449011107463558
"231",-0.747791926281918
"232",-0.458981431590274
"233",-0.454892665983576
"234",-0.187888190483083
"235",-0.677235027252339
"236",-0.414354787618137
"237",-0.17894891170718
"238",-0.554185879270746
"239",-0.11355502448828
"240",-0.342667977302695
"241",-0.215350640368449
"242",-0.404697110639312
"243",-0.281451165461159
"244",-0.775823542222301
"245",-0.167623573414557
"246",-0.421371635318482
"247",-0.576385067549002
"248",-0.320482175357091
"249",-0.448626265132812
"250",-0.589730926994072
"251",-0.404243775821474
"252",-0.0848895039623554
"253",-0.132368356188293
"254",-0.636219184900308
"255",-0.817305236753577
"256",-0.205011182392164
"257",-0.787728795281337
"258",-0.292956634490948
"259",-0.473071904676689
"260",-1.07437638813833
"261",-0.0889007322668309
"262",-0.0637281508354196
"263",-0.709674919634322
"264",-0.360115252310121
"265",-0.478146352416228
"266",-0.305274769579523
"267",-0.376756621962897
"268",-0.337670849245887
"269",-0.394194168946974
"270",-1.03236066453593
"271",-0.53325757450538
"272",-0.360831095158948
"273",-0.194459043160028
"274",-0.614856776939062
"275",-0.0281573550217632
"276",-0.760959497444908
"277",-0.268732127289192
"278",-0.283452765986912
"279",-0.963332041202393
"280",-0.161255456705483
"281",-0.0910843175111067
"282",-0.459687091592046
"283",-0.206876284740246
"284",-0.575362762630875
"285",-0.39308167337665
"286",-0.798404808937388
"287",-0.414087908811716
"288",-0.354157252204425
"289",-0.34889989721193
"290",-0.125860913663564
"291",-0.223704917458284
"292",-0.681554851989712
"293",-0.0626610392087554
"294",-1.02227329246347
"295",-0.285822691588737
"296",-0.618024910479007
"297",-0.256117106405943
"298",-0.43778211377442
"299",-1.04097700153969
"300",-0.183365785850161
"301",-0.421552515846212
"302",-0.496934263902384
"303",-0.345319234404666
"304",-0.765432867361672
"305",-0.340344857703753
"306",-1.04804814739926
"307",-0.63793411599461
"308",-0.747961126657752
"309",-0.612936530184541
"310",-0.393622791000633
"311",-0.325681724092073
"312",-0.20640063222869
"313",-0.370437949683863
"314",-0.558100677413993
"315",-0.437839837900598
"316",-0.215043167043529
"317",-0.432007827549368
"318",-0.278934583174676
"319",-0.361858458756548
"320",-0.30694561650636
"321",-0.488654834122635
"322",-0.436210000375073
"323",-0.262406147730713
"324",-0.246563973478207
"325",-0.399383477957447
"326",-0.0598887897633559
"327",-0.830735643679033
"328",-0.488535276440181
"329",-0.185317862469801
"330",-0.238445686957985
"331",-0.23118154665125
"332",-0.233082243963309
"333",-0.380777581524966
"334",-0.647047319799831
"335",-0.678924478409518
"336",-0.38361301778741
"337",-0.776417270518907
"338",-0.855974760579287
"339",-0.0944223816056439
"340",-0.185879085672568
"341",-0.370838440059833
"342",-0.305811593418028
"343",-0.557779541537986
"344",-0.67748430592064
"345",-0.352113989907191
"346",-0.595421757062807
"347",-0.183107347129889
"348",-0.327735727640349
"349",-0.709217242781254
"350",-0.258371089685629
"351",-0.405757052676501
"352",-0.253064366228897
"353",-0.734580407970015
"354",-0.263769111115801
"355",-0.175553789074844
"356",-0.259119771877149
"357",-0.503408755316816
"358",-0.159396186080019
"359",-0.169931132667203
"360",-0.278043300825844
"361",-0.421766305639369
"362",-0.761450200986233
"363",-0.554108359091599
"364",-0.597996295644162
"365",-0.750210745951446
"366",-0.379956506426395
"367",-0.310429153081073
"368",-0.220395313513392
"369",-0.309740810496828
"370",-0.565980864572729
"371",-0.364809479549869
"372",-0.954327814981058
"373",-0.401697131425536
"374",-0.372640694861365
"375",-0.327510491691031
"376",-0.288111023606595
"377",-0.47592774174092
"378",-0.290353724803827
"379",-0.758584257691526
"380",-0.518329831122635
"381",-0.300506867945944
"382",-0.262482342550032
"383",-0.460753333402756
"384",-0.0922789098452369
"385",-0.627203523300842
"386",-0.15500517709745
"387",-0.570491761356131
"388",-0.395933133197204
"389",-0.744320606309409
"390",-0.246132693302743
"391",-0.600262877898982
"392",-0.54096874494503
"393",-0.466614419339736
"394",-0.276557688023835
"395",-0.681307792128583
"396",-0.450308639000005
"397",-0.518020160447889
"398",-0.259601193523098
"399",-0.594429248235881
"400",-0.442603335422758
"401",-0.362534522382734
"402",-0.334302677400873
"403",-0.311128914214812
"404",-0.667998153346458
"405",-0.226665995066194
"406",-0.737187902550966
"407",-0.408978989060719
"408",-0.226195829835342
"409",-0.276296832968418
"410",-0.535480856777538
"411",-0.91935858865743
"412",-0.464993191978345
"413",-0.223700069449717
"414",-0.576434422339071
"415",-0.43393973360033
"416",-0.74570845364221
"417",-0.140508570848989
"418",-0.53825565337112
"419",-0.526745978993322
"420",-0.402986338402454
"421",-0.241130526493109
"422",-0.305410062084614
"423",-0.333233329197811
"424",-0.408833522726112
"425",-0.224944904366384
"426",-0.817325438522139
"427",-0.3519026772236
"428",-0.497960390071818
"429",-0.539980523265577
"430",-0.522579440597515
"431",-0.630600176955571
"432",-0.692533233223468
"433",-0.210399509925026
"434",-0.280033697179946
"435",-0.237715812193064
"436",-0.500896457843157
"437",-0.305314210317399
"438",-0.376646555813581
"439",-0.421440614006925
"440",-0.16767313242203
"441",-0.611305538519633
"442",-0.228044829553421
"443",-0.386932703587993
"444",-0.389258212400228
"445",-0.267015096968033
"446",-0.286714950303717
"447",-0.519406638886214
"448",-0.261451029660764
"449",-0.910319906757003
"450",-0.642258917990711
"451",-0.769053720248855
"452",-0.55466950692836
"453",-0.432370637268719
"454",-0.307484674834239
"455",-0.141037710232626
"456",-0.347361959426764
"457",-0.371572909397532
"458",-0.343386111787754
"459",-0.359390070983226
"460",-0.562795638083262
"461",-0.628278306788098
"462",-0.3489869792657
"463",-0.541804561622527
"464",-0.0919928610248472
"465",-0.690788141454264
"466",-0.235143438472191
"467",-0.192570593449466
"468",-0.551696834106221
"469",-0.712845418422672
"470",-0.705548592174334
"471",-0.472296547993127
"472",-0.432888651151524
"473",-0.325408157891483
"474",-0.51620634093095
"475",-0.401087006936172
"476",-0.745416736565828
"477",-0.277192195554444
"478",-1.20489587325478
"479",-0.44164421517446
"480",-0.300111397880031
"481",-0.40118429141406
"482",-0.227821760251714
"483",-0.116012241989471
"484",-0.500178504532457
"485",-0.144433904662305
"486",-0.575500056551325
"487",-0.143195526530682
"488",-0.222732920808919
"489",-0.130927372340877
"490",-0.27886327905131
"491",-0.113576802187842
"492",-0.410385319907095
"493",-0.0925716104331694
"494",-0.331943550573817
"495",-0.296599501414771
"496",-0.468682300480407
"497",-0.350827238440962
"498",-0.511762542490958
"499",-0.559011857009626
"500",-0.81563713684139
"501",-0.283213682444426
"502",-0.828631724848955
"503",-1.03968336720632
"504",-0.779242748111968
"505",-0.193393086579932
"506",-0.84358191423175
"507",-0.388009467533329
"508",-0.41096010350392
"509",-0.641891763934686
"510",-0.265267599445025
"511",-0.40308869550798
"512",-0.5341580241416
"513",-0.520250525133227
"514",-0.0396389135942039
"515",-0.637509004259296
"516",-0.451570297851265
"517",-0.326971204079173
"518",-0.273809106542957
"519",-0.261573550017184
"520",-0.472972725785496
"521",-0.258352126037949
"522",-0.970597013372228
"523",-0.576324732717292
"524",-0.599602162853154
"525",-0.110778820337463
"526",-1.4022946641809
"527",-0.901986048789816
"528",-0.406103641100983
"529",-0.23821408018433
"530",-0.112486744882728
"531",-0.769634903808184
"532",-0.48772467589672
"533",-0.337219765173009
"534",-0.418699705823858
"535",-0.294313560201254
"536",-0.184913779657024
"537",-0.263662674023313
"538",-0.202732171179468
"539",-0.287169683271493
"540",-0.408751554367575
"541",-0.0370550293624643
"542",-1.5687839558929
"543",-0.162970289258859
"544",-0.293663924208335
"545",-0.447042730427412
"546",-0.461708866494452
"547",-0.278871292418835
"548",-0.398448289560612
"549",-0.646142288728706
"550",-0.251061079501348
"551",-0.64388548618038
"552",-0.508136934913071
"553",-0.16422447556728
"554",-0.296605253636981
"555",-0.189105944493968
"556",-0.521407901320501
"557",-0.786083975462418
"558",-0.208227000541606
"559",-0.870610563631127
"560",-0.62540950706359
"561",-0.1584589569734
"562",-0.37486477342127
"563",-0.356155267566052
"564",-0.339577684297203
"565",-0.602683231257521
"566",-0.579476910899103
"567",-0.595368583206893
"568",-0.624687835482463
"569",-0.516965947080792
"570",-0.909228785536327
"571",-0.0722589469265043
"572",-0.602280046711179
"573",-0.391742493863459
"574",-0.527567167055896
"575",-0.431841979538384
"576",-0.423257173017895
"577",-0.378337677259164
"578",-0.742593249645393
"579",-0.592792171419283
"580",-0.267645185440633
"581",-0.222953512772338
"582",-0.3052213331281
"583",-0.264896480507468
"584",-0.637104507398391
"585",-0.153162777853015
"586",-0.388790239612209
"587",-0.232354689827888
"588",-0.734806654350215
"589",-0.341895686829135
"590",-0.562848949534246
"591",-0.344882629433636
"592",-0.257827266114048
"593",-0.301128140147982
"594",-0.444578890063076
"595",-0.237306702579943
"596",-0.516985438834611
"597",-0.556314624976108
"598",-0.665205596805444
"599",-0.351348765632017
"600",-0.161859683427415
"601",-0.358193671919775
"602",-0.198567420414759
"603",-0.239724573529597
"604",-0.662445604952447
"605",-0.428939272789411
"606",-0.583743030598638
"607",-0.252184974482732
"608",-0.726674165203334
"609",-0.767867953254721
"610",-0.216374076193557
"611",-0.737409611017584
"612",-0.371869424006345
"613",-0.581029959126048
"614",-0.26655545226305
"615",-0.198434550198501
"616",-0.615170685673741
"617",-0.246050262010707
"618",-0.1989945974562
"619",-0.465842628005606
"620",-0.827740679107542
"621",-0.710412243933532
"622",-0.110742797230121
"623",-0.150236492015104
"624",-0.849477884359773
"625",-0.504112098633001
"626",-0.666324504111455
"627",-0.841895929092235
"628",-0.165146986646045
"629",-0.108456442916169
"630",-0.239911594177955
"631",-0.0870784943646098
"632",-0.244718905183802
"633",-0.339897344305361
"634",-0.687956705170518
"635",-0.63677423729909
"636",-0.380417143176118
"637",-0.73186731048435
"638",-0.653504129253105
"639",-0.572545196847771
"640",-0.588226803858824
"641",-0.174682371623742
"642",-0.417741749047863
"643",-0.121677130712325
"644",-0.158749392273453
"645",-0.266762294860271
"646",-0.998867535080681
"647",-0.371660188839846
"648",-0.27166408084677
"649",-0.1127281903919
"650",-0.210865081657797
"651",-0.194726796302954
"652",-0.607817857496184
"653",-0.214464621844032
"654",-0.47212655123603
"655",-0.216158101031283
"656",-0.501794601927903
"657",-0.312901853186023
"658",-0.394656135085239
"659",-0.346451291865588
"660",-0.622545381442459
"661",-0.302657318140883
"662",-0.184838781198533
"663",-0.566943822437427
"664",-0.251893597116002
"665",-0.409892088121243
"666",-0.51270775269439
"667",-0.463233792093694
"668",-0.234310621848486
"669",-0.570833626122443
"670",-0.447536818363845
"671",-0.204456414764536
"672",-0.121701090493833
"673",-0.490005589593069
"674",-0.741566909641194
"675",-0.513238210614289
"676",-0.684357247259553
"677",-0.428379680280798
"678",-0.333306433047229
"679",-0.776073864916037
"680",-0.721522920327837
"681",-0.221650428889299
"682",-0.407545878859539
"683",-0.181421930666946
"684",-0.655807227876922
"685",-0.0745798846044736
"686",-0.191381019642658
"687",-0.300541611829749
"688",-0.698410709988884
"689",-0.468360976185232
"690",-0.786730547425844
"691",-0.174139951862585
"692",-0.259191161970338
"693",-0.585194421016191
"694",-0.299619662833832
"695",-0.718487479575559
"696",-0.672491697293545
"697",-0.437977698371442
"698",-0.144478581396384
"699",-0.824689477579946
"700",-0.928096760782166
"701",-0.252119169828892
"702",-0.494504730351035
"703",-0.508552769795478
"704",-0.845761246754089
"705",-0.131771879848045
"706",-0.313015817068671
"707",-0.243100320609722
"708",-0.692448198058406
"709",-0.341796330636141
"710",-0.167230442072358
"711",-0.329388569848961
"712",-0.731239860670484
"713",-0.0717533631570577
"714",-0.954269704032393
"715",-0.449525209739664
"716",-0.733620145376989
"717",-0.461621458202964
"718",-0.29461706463465
"719",-0.193184879971258
"720",-1.14169123011651
"721",-0.146497451845248
"722",-0.309841506365025
"723",-0.0747672512467528
"724",-0.15128476399139
"725",-0.152061022827208
"726",-0.269704409799644
"727",-0.433383789938214
"728",-0.412971320732478
"729",-0.241441333424913
"730",-0.108547790288438
"731",-0.661652057144173
"732",-0.38101036482841
"733",-0.0582330797366967
"734",-0.354845229822767
"735",-0.582912441771862
"736",-0.459549515835553
"737",-1.01477530108917
"738",-0.144190808885396
"739",-0.83270293822489
"740",-0.0892457706215049
"741",-0.524468165247422
"742",-0.412030633557807
"743",-0.705804941281629
"744",-0.386613045549527
"745",-0.490006674120127
"746",-0.831718679217624
"747",-0.102536258743864
"748",-0.508205288845033
"749",-0.805862455871477
"750",-0.550752811169895
"751",-0.226783857764049
"752",-0.364433390714043
"753",-0.452892806895008
"754",-0.46053488688181
"755",-0.107898299428335
"756",-0.461103969331578
"757",-0.436320029426437
"758",-0.658727052911037
"759",-0.536902018944287
"760",-0.0572342524501382
"761",-0.264195171744985
"762",-0.422909134654556
"763",-0.320756380402713
"764",-0.648618257027386
"765",-0.189689256300493
"766",-0.344283059105126
"767",-0.821933409176764
"768",-0.25371445113671
