"","x"
"1",-0.318216872307051
"2",-1.01589108235826
"3",-0.220970518451873
"4",-0.190280959832025
"5",-0.757244968032348
"6",-0.610496237221405
"7",-0.388668336471904
"8",-1.05187075023283
"9",-0.872081240036723
"10",-0.152778322177824
"11",-0.272051640307106
"12",-0.239435918625557
"13",-0.718904831254442
"14",-0.0904339459114383
"15",-0.139805890337587
"16",-0.618169611784833
"17",-0.259585667043263
"18",-0.822161974944155
"19",-0.580796329497158
"20",-0.987398749280628
"21",-0.492407929369891
"22",-0.339623201731578
"23",-0.460350108593184
"24",-0.684727379936777
"25",-0.230721307792684
"26",-0.620933492157759
"27",-0.397236819470922
"28",-0.57393554960227
"29",-1.03502036515722
"30",-0.265907300655263
"31",-0.567955958910889
"32",-0.545421845838445
"33",-0.617700989104649
"34",-0.824866813372725
"35",-0.813455489345899
"36",-0.807473025639144
"37",-0.0891939093483228
"38",-0.523766275750636
"39",-0.11055044845127
"40",-0.799233548324963
"41",-0.504342750254428
"42",-0.0993878070936328
"43",-0.41865627394543
"44",-0.285689097296248
"45",-0.358366671211179
"46",-0.923006561772508
"47",-0.116394156083718
"48",-0.613129356220349
"49",-0.617214969519019
"50",-0.745228594134159
"51",-0.823631720677651
"52",-0.719078170887893
"53",-0.81334799675776
"54",-0.235961861767408
"55",-0.568595689482812
"56",-0.231698637291816
"57",-0.370754938161481
"58",-0.321670886189908
"59",-0.759816279900551
"60",-0.26964114169035
"61",-0.228918774881533
"62",-0.444363098842182
"63",-0.219820230445787
"64",-0.23856498836692
"65",-0.639683112953462
"66",-0.265635932208836
"67",-0.464496305408398
"68",-0.360931242343232
"69",-0.322605302837461
"70",-0.130160986248532
"71",-0.26604225700551
"72",-0.441383880230497
"73",-0.550086891151688
"74",-0.755583284996396
"75",-0.928190969335594
"76",-0.723493273904093
"77",-0.366728089177916
"78",-0.190396845663272
"79",-0.732715724163877
"80",-0.448686059918363
"81",-0.719302640265119
"82",-0.293594023026071
"83",-0.419100091516215
"84",-0.189043211266192
"85",-0.251372369316836
"86",-0.421886016739096
"87",-0.53726640601942
"88",-0.461332280895053
"89",-0.777825883081136
"90",-0.673068876352089
"91",-0.495383379685922
"92",-0.214261100515945
"93",-0.262898220927001
"94",-0.617997413263349
"95",-0.699267651859231
"96",-0.274411734676407
"97",-1.13826393974775
"98",-0.506920521541579
"99",-0.293665570678902
"100",-0.462716869150396
